"Wavelength","BG18",      "BG25",      "BG3",       "BG36",      "BG38",      "BG39",      "BG40",      "BG42",      "BG47",      "BG55",      "BG59",      "BG60",      "BG60HT",    "BG61",      "BG62",      "BG62HT",    "BG63",      "BG64",      "BG66",      "BG66HS",    "BG67",      "BG67HT",    "BG7",       "GG395",     "GG400",     "GG420",     "GG435",     "GG455",     "GG475",     "GG495",     "KG1",       "KG2",       "KG3",       "KG5",       "N-WG205",   "N-WG280",   "N-WG295",   "N-WG305",   "N-WG320",   "N-WG360",   "NG1",       "NG11",      "NG3",       "NG4",       "NG5",       "NG9",       "OG515",     "OG530",     "OG550",     "OG570",     "OG590",     "RG1000",    "RG610",     "RG630",     "RG645",     "RG665",     "RG695",     "RG715",     "RG780",     "RG830",     "RG850",     "RG9",       "RG905",     "S7000",     "S7005",     "S7010N",    "S8008G",    "S8022",     "S8023",     "S8612",     "S8802",     "S8806A",    "S8808",     "S8809",     "S8851",     "UG1",       "UG11",      "UG2A",      "UG5",       "VG20",      "VG9"
200,         1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.55,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05
210,         1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.64,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       2.234e-05,   1e-05,       1e-05
220,         1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.75,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.069,       1e-05,       1e-05
230,         1e-05,       1e-05,       0.0006761,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.84,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.45,        1e-05,       1e-05
240,         1e-05,       1e-05,       0.01924,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9,         1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.0006067,   1e-05,       0.718,       1e-05,       1e-05
250,         1e-05,       1e-05,       0.169,       0.0001297,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.95,        0.0066,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.0561,      1e-05,       0.826,       1e-05,       1e-05
260,         1e-05,       1e-05,       0.4698,      0.01734,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       3.483e-05,   0.001,       1e-05,       1e-05,       0.97,        0.086,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.276,       1e-05,       0.879,       1e-05,       1e-05
270,         1e-05,       1e-05,       0.6903,      0.0422,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.002,       0.02,        0.001919,    1e-05,       0.98,        0.27,        0.0016,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.00025,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.521,       1e-05,       0.912,       1e-05,       1e-05
280,         1e-05,       1e-05,       0.8188,      0.05797,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.01701,     0.088,       0.02114,     2.793e-05,   0.99,        0.51,        0.064,       0.001,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.0038,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.002377,    0.712,       1e-05,       0.939,       1e-05,       1e-05
290,         1e-05,       8.492e-05,   0.8972,      0.06801,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.073,       0.245,       0.08698,     0.00188,     0.99,        0.72,        0.33,        0.062,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.015,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.00074,     0.03691,     0.825,       0.000182,    0.952,       1e-05,       1e-05
