"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 7.831e-05, False
330, 0.0136, False
340, 0.1301, False
350, 0.3524, False
360, 0.5453, False
370, 0.6642, False
380, 0.7356, False
390, 0.7795, False
400, 0.8093, False
410, 0.8314, False
420, 0.8515, False
430, 0.8678, False
440, 0.8817, False
450, 0.8959, False
460, 0.908, False
470, 0.915, False
480, 0.9214, False
490, 0.9303, False
500, 0.9319, False
510, 0.9286, False
520, 0.9187, False
530, 0.8991, False
540, 0.8673, False
550, 0.8208, False
560, 0.7573, False
570, 0.679, False
580, 0.5874, False
590, 0.4892, False
600, 0.3905, False
610, 0.2979, False
620, 0.2168, False
630, 0.1505, False
640, 0.1, False
650, 0.06356, False
660, 0.03882, False
670, 0.02294, False
680, 0.01314, False
690, 0.007409, False
700, 0.004338, False
710, 0.002421, False
720, 0.001378, False
730, 0.0007905, False
740, 0.0004644, False
750, 0.0002818, False
760, 0.0001794, False
770, 0.0001187, False
780, 8.223e-05, False
790, 6.013e-05, False
800, 4.553e-05, False
810, 3.683e-05, False
820, 3.115e-05, False
830, 2.752e-05, False
840, 2.593e-05, False
850, 2.497e-05, False
860, 2.632e-05, False
870, 2.877e-05, False
880, 2.856e-05, False
890, 3.182e-05, False
900, 3.559e-05, False
910, 3.967e-05, False
920, 4.945e-05, False
930, 5.977e-05, False
940, 7.197e-05, False
950, 8.963e-05, False
960, 0.0001064, False
970, 0.0001346, False
980, 0.0001709, False
990, 0.0002146, False
1000, 0.0002576, False
1010, 0.000317, False
1020, 0.0003967, False
1030, 0.0004818, False
1040, 0.0006148, False
1050, 0.0007502, False
1060, 0.0009159, False
1070, 0.001118, False
1080, 0.001357, False
1090, 0.001655, False
1100, 0.001992, False
1110, 0.002416, False
1120, 0.002902, False
1130, 0.003528, False
1140, 0.004192, False
1150, 0.004976, False
1160, 0.005967, False
1170, 0.007049, False
1180, 0.008166, False
1190, 0.009653, False
1200, 0.01142, False
1250, 0.024, False
1300, 0.04588, False
1350, 0.07977, False
1400, 0.1268, False
1450, 0.1867, False
1500, 0.2557, False
1550, 0.3305, False
1600, 0.4056, False
1650, 0.4814, False
1700, 0.5511, False
1750, 0.6093, False
1800, 0.6632, False
1850, 0.7071, False
1900, 0.7456, False
1950, 0.7786, False
2000, 0.8056, False
2050, 0.8274, False
2100, 0.8467, False
2150, 0.8632, False
2200, 0.8733, False
2250, 0.8825, False
2300, 0.891, False
2350, 0.8974, False
2400, 0.9023, False
2450, 0.9069, False
2500, 0.9061, False
2550, 0.9064, False
2600, 0.9035, False
2650, 0.9, False
2700, 0.8923, False
2750, 0.8737, False
2800, 0.7977, False
2850, 0.6805, False
2900, 0.5825, False
2950, 0.5097, False
3000, 0.4513, False
3050, 0.3996, False
3100, 0.3524, False
3150, 0.3104, False
3200, 0.2744, False
3250, 0.2449, False
3300, 0.2218, False
3350, 0.2043, False
3400, 0.1921, False
3450, 0.1852, False
3500, 0.1834, False
3550, 0.1867, False
3600, 0.195, False
3650, 0.2082, False
3700, 0.2259, False
3750, 0.2432, False
3800, 0.2484, False
3850, 0.2331, False
3900, 0.2041, False
3950, 0.1707, False
4000, 0.1275, False
4050, 0.07682, False
4100, 0.04036, False
4150, 0.02037, False
4200, 0.01121, False
4250, 0.007748, False
4300, 0.007701, False
4350, 0.008815, False
4400, 0.008635, False
4450, 0.007195, False
4500, 0.005756, False
4550, 0.004996, False
4600, 0.005132, False
4650, 0.006813, False
4700, 0.01106, False
4750, 0.01826, False
4800, 0.02702, False
4850, 0.03642, False
4900, 0.04731, False
4950, 0.06127, False
5000, 0.07711, False
5050, 0.09209, False
5100, 0.1029, False
5150, 0.1065, False
