"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 7.415e-05, False
330, 0.01574, False
340, 0.1447, False
350, 0.3866, False
360, 0.5939, False
370, 0.7185, False
380, 0.7901, False
390, 0.8295, False
400, 0.8554, False
410, 0.874, False
420, 0.889, False
430, 0.9016, False
440, 0.9125, False
450, 0.9226, False
460, 0.9312, False
470, 0.9365, False
480, 0.9417, False
490, 0.946, False
500, 0.9452, False
510, 0.9404, False
520, 0.9288, False
530, 0.9073, False
540, 0.8739, False
550, 0.826, False
560, 0.7618, False
570, 0.6817, False
580, 0.59, False
590, 0.4908, False
600, 0.392, False
610, 0.2994, False
620, 0.2184, False
630, 0.1509, False
640, 0.1002, False
650, 0.06391, False
660, 0.03912, False
670, 0.0231, False
680, 0.01336, False
690, 0.007552, False
700, 0.004483, False
710, 0.002369, False
720, 0.001335, False
730, 0.0007666, False
740, 0.0004521, False
750, 0.0002747, False
760, 0.0001741, False
770, 0.0001155, False
780, 8.046e-05, False
790, 5.856e-05, False
800, 4.502e-05, False
810, 3.656e-05, False
820, 3.119e-05, False
830, 2.793e-05, False
840, 2.564e-05, False
850, 2.372e-05, False
860, 2.639e-05, False
870, 2.872e-05, False
880, 3.41e-05, False
890, 3.233e-05, False
900, 3.719e-05, False
910, 5.03e-05, False
920, 4.952e-05, False
930, 6.534e-05, False
940, 8.1e-05, False
950, 9.477e-05, False
960, 0.0001248, False
970, 0.0001384, False
980, 0.0001873, False
990, 0.0002146, False
1000, 0.0002823, False
1010, 0.0003353, False
1020, 0.0004468, False
1030, 0.0005325, False
1040, 0.0006468, False
1050, 0.0008132, False
1060, 0.001044, False
1070, 0.001248, False
1080, 0.001509, False
1090, 0.001833, False
1100, 0.002177, False
1110, 0.002626, False
1120, 0.003188, False
1130, 0.003874, False
1140, 0.004603, False
1150, 0.005383, False
1160, 0.006519, False
1170, 0.007711, False
1180, 0.008976, False
1190, 0.01032, False
1200, 0.01224, False
1250, 0.02586, False
1300, 0.0489, False
1350, 0.08439, False
1400, 0.1324, False
1450, 0.1953, False
1500, 0.2655, False
1550, 0.3426, False
1600, 0.4175, False
1650, 0.4899, False
1700, 0.5594, False
1750, 0.62, False
1800, 0.6742, False
1850, 0.7188, False
1900, 0.7658, False
1950, 0.7954, False
2000, 0.8219, False
2050, 0.8448, False
2100, 0.8596, False
2150, 0.8797, False
2200, 0.8909, False
2250, 0.9019, False
2300, 0.9103, False
2350, 0.9188, False
2400, 0.9246, False
2450, 0.9257, False
2500, 0.9222, False
2550, 0.9288, False
2600, 0.9279, False
2650, 0.9261, False
2700, 0.9218, False
2750, 0.9096, False
2800, 0.8624, False
2850, 0.7781, False
2900, 0.7003, False
2950, 0.64, False
3000, 0.5905, False
3050, 0.5454, False
3100, 0.5027, False
3150, 0.4626, False
3200, 0.4268, False
3250, 0.3957, False
3300, 0.37, False
3350, 0.3495, False
3400, 0.3339, False
3450, 0.3245, False
3500, 0.3205, False
3550, 0.3231, False
3600, 0.3311, False
3650, 0.3451, False
3700, 0.3635, False
3750, 0.3805, False
3800, 0.3826, False
3850, 0.3583, False
3900, 0.3143, False
3950, 0.2645, False
4000, 0.2114, False
4050, 0.1384, False
4100, 0.07617, False
4150, 0.03905, False
4200, 0.0211, False
4250, 0.01416, False
4300, 0.01306, False
4350, 0.01346, False
4400, 0.01236, False
4450, 0.009979, False
4500, 0.007775, False
4550, 0.006476, False
4600, 0.00634, False
4650, 0.008118, False
4700, 0.01303, False
4750, 0.02161, False
4800, 0.03292, False
4850, 0.04615, False
4900, 0.06232, False
4950, 0.08366, False
5000, 0.1085, False
5050, 0.1318, False
5100, 0.1485, False
5150, 0.1548, False
