"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 1e-05, True
420, 0.005714, False
430, 0.2404, False
440, 0.664, False
450, 0.8424, False
460, 0.8986, False
470, 0.923, False
480, 0.9386, False
490, 0.9506, False
500, 0.9596, False
510, 0.9667, False
520, 0.9724, False
530, 0.9767, False
540, 0.9802, False
550, 0.9829, False
560, 0.9848, False
570, 0.9859, False
580, 0.9866, False
590, 0.9868, False
600, 0.9866, False
610, 0.9862, False
620, 0.9857, False
630, 0.985, False
640, 0.9842, False
650, 0.9833, False
660, 0.9823, False
670, 0.9811, False
680, 0.9799, False
690, 0.9785, False
700, 0.9771, False
710, 0.9757, False
720, 0.9742, False
730, 0.9726, False
740, 0.9708, False
750, 0.9689, False
760, 0.9669, False
770, 0.965, False
780, 0.9633, False
790, 0.9616, False
800, 0.96, False
810, 0.9583, False
820, 0.9568, False
830, 0.9552, False
840, 0.9537, False
850, 0.9523, False
860, 0.951, False
870, 0.9498, False
880, 0.9489, False
890, 0.948, False
900, 0.9471, False
910, 0.9464, False
920, 0.9457, False
930, 0.9451, False
940, 0.9444, False
950, 0.9438, False
960, 0.9432, False
970, 0.9426, False
980, 0.942, False
990, 0.9415, False
1000, 0.9411, False
1010, 0.9407, False
1020, 0.9403, False
1030, 0.9401, False
1040, 0.9398, False
1050, 0.9397, False
1060, 0.9395, False
1070, 0.9394, False
1080, 0.9392, False
1090, 0.9391, False
1100, 0.939, False
1110, 0.939, False
1120, 0.9389, False
1130, 0.939, False
1140, 0.9391, False
1150, 0.9392, False
1160, 0.9394, False
1170, 0.9395, False
1180, 0.9397, False
1190, 0.9399, False
1200, 0.9401, False
1250, 0.9413, False
1300, 0.9434, False
1350, 0.9464, False
1400, 0.9466, False
1450, 0.953, False
1500, 0.9579, False
1550, 0.9619, False
1600, 0.9651, False
1650, 0.9668, False
1700, 0.9673, False
1750, 0.9668, False
1800, 0.9654, False
1850, 0.9634, False
1900, 0.9618, False
1950, 0.9602, False
2000, 0.9584, False
2050, 0.9564, False
2100, 0.9539, False
2150, 0.9482, False
2200, 0.9376, False
2250, 0.9324, False
2300, 0.9365, False
2350, 0.9358, False
2400, 0.9307, False
2450, 0.9214, False
2500, 0.9154, False
2550, 0.9115, False
2600, 0.9076, False
2650, 0.893, False
2700, 0.8152, False
2750, 0.3405, False
2800, 0.2494, False
2850, 0.2584, False
2900, 0.2745, False
2950, 0.2847, False
3000, 0.289, False
3050, 0.2838, False
3100, 0.2715, False
3150, 0.2572, False
3200, 0.2407, False
3250, 0.2237, False
3300, 0.2073, False
3350, 0.192, False
3400, 0.1782, False
3450, 0.1665, False
3500, 0.1606, False
3550, 0.1567, False
3600, 0.1559, False
3650, 0.1573, False
3700, 0.1608, False
3750, 0.1688, False
3800, 0.1759, False
3850, 0.1802, False
3900, 0.1817, False
3950, 0.177, False
4000, 0.1683, False
4050, 0.1561, False
4100, 0.1404, False
4150, 0.1219, False
4200, 0.1034, False
4250, 0.08162, False
4300, 0.05873, False
4350, 0.03903, False
4400, 0.02142, False
4450, 0.00922, False
4500, 0.00349, False
4550, 0.001129, False
4600, 0.000301, False
4650, 0.0001117, False
4700, 4.207e-05, False
4750, 1.556e-05, False
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
