"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 2.793e-05, False
290, 0.00188, False
300, 0.022, False
310, 0.1138, False
320, 0.295, False
330, 0.516, False
340, 0.684, False
350, 0.795, False
360, 0.869, False
370, 0.898, False
380, 0.909, False
390, 0.8998, False
400, 0.8774, False
410, 0.8619, False
420, 0.8497, False
430, 0.8505, False
440, 0.8619, False
450, 0.8651, False
460, 0.862, False
470, 0.872, False
480, 0.8787, False
490, 0.8841, False
500, 0.8883, False
510, 0.8854, False
520, 0.8781, False
530, 0.8743, False
540, 0.8806, False
550, 0.89, False
560, 0.8919, False
570, 0.887, False
580, 0.877, False
590, 0.86, False
600, 0.838, False
610, 0.81, False
620, 0.777, False
630, 0.738, False
640, 0.696, False
650, 0.65, False
660, 0.604, False
670, 0.555, False
680, 0.505, False
690, 0.45, False
700, 0.398, False
710, 0.347, False
720, 0.299, False
730, 0.255, False
740, 0.214, False
750, 0.178, False
760, 0.145, False
770, 0.116, False
780, 0.092, False
790, 0.072, False
800, 0.056, False
810, 0.04211, False
820, 0.03171, False
830, 0.02311, False
840, 0.01632, False
850, 0.01135, False
860, 0.00772, False
870, 0.0053, False
880, 0.003839, False
890, 0.002716, False
900, 0.00199, False
910, 0.00141, False
920, 0.001, False
930, 0.0007311, False
940, 0.000532, False
950, 0.0003917, False
960, 0.0002877, False
970, 0.0002153, False
980, 0.0001633, False
990, 0.0001256, False
1000, 9.931e-05, False
1010, 7.816e-05, False
1020, 6.166e-05, False
1030, 4.932e-05, False
1040, 4.055e-05, False
1050, 3.467e-05, False
1060, 3.006e-05, False
1070, 2.63e-05, False
1080, 2.323e-05, False
1090, 2.075e-05, False
1100, 1.875e-05, False
1110, 1.667e-05, False
1120, 1.5e-05, False
1130, 1.37e-05, False
1140, 1.239e-05, False
1150, 1.109e-05, False
1160, 1.007e-05, False
1170, 1e-05, True
1180, 1e-05, True
1190, 1e-05, True
1200, 1e-05, True
1250, 1e-05, True
1300, 1e-05, True
1350, 1.05e-05, False
1400, 1.549e-05, False
1450, 2.588e-05, False
1500, 4.55e-05, False
1550, 8.507e-05, False
1600, 0.0001545, False
1650, 0.0002683, False
1700, 0.0004375, False
1750, 0.0005757, False
1800, 0.0006608, False
1850, 0.0006868, False
1900, 0.0006537, False
1950, 0.0006034, False
2000, 0.0005593, False
2050, 0.0005136, False
2100, 0.0004851, False
2150, 0.0004927, False
2200, 0.0005413, False
2250, 0.0006482, False
2300, 0.000829, False
2350, 0.001095, False
2400, 0.001479, False
2450, 0.002058, False
2500, 0.002914, False
2550, 0.00409, False
2600, 0.005337, False
2650, 0.00662, False
2700, 0.007858, False
2750, 0.005622, False
2800, 0.0008872, False
2850, 0.0002754, False
2900, 0.0002037, False
2950, 0.0001856, False
3000, 0.0001817, False
3050, 0.0001894, False
3100, 0.0002083, False
3150, 0.000233, False
3200, 0.000267, False
3250, 0.0003098, False
3300, 0.0003557, False
3350, 0.000432, False
3400, 0.000564, False
3450, 0.000728, False
3500, 0.000932, False
3550, 0.001222, False
3600, 0.001604, False
3650, 0.00195, False
3700, 0.002208, False
3750, 0.002015, False
3800, 0.001577, False
3850, 0.001039, False
3900, 0.000456, False
3950, 0.0001861, False
4000, 7.39e-05, False
4050, 3.65e-05, False
4100, 1.57e-05, False
4150, 1e-05, True
4200, 1e-05, True
4250, 1e-05, True
4300, 1e-05, True
4350, 1e-05, True
4400, 1e-05, True
4450, 1e-05, True
4500, 1e-05, True
4550, 1e-05, True
4600, 1e-05, True
4650, 1e-05, True
4700, 1e-05, True
4750, 1e-05, True
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
