"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 0.0096, False
310, 0.16, False
320, 0.5066, False
330, 0.77, False
340, 0.9013, False
350, 0.9533, False
360, 0.9728, False
370, 0.9814, False
380, 0.9859, False
390, 0.9885, False
400, 0.9899, False
410, 0.9906, False
420, 0.9911, False
430, 0.9916, False
440, 0.992, False
450, 0.9924, False
460, 0.9928, False
470, 0.9931, False
480, 0.9934, False
490, 0.9937, False
500, 0.994, False
510, 0.9942, False
520, 0.9945, False
530, 0.9948, False
540, 0.995, False
550, 0.9953, False
560, 0.9955, False
570, 0.9957, False
580, 0.9959, False
590, 0.996, False
600, 0.9962, False
610, 0.9964, False
620, 0.9965, False
630, 0.9967, False
640, 0.9968, False
650, 0.9969, False
660, 0.997, False
670, 0.9971, False
680, 0.9972, False
690, 0.9973, False
700, 0.9974, False
710, 0.9975, False
720, 0.9976, False
730, 0.9977, False
740, 0.9978, False
750, 0.9979, False
760, 0.998, False
770, 0.9981, False
780, 0.9982, False
790, 0.9983, False
800, 0.9983, False
810, 0.9984, False
820, 0.9985, False
830, 0.9985, False
840, 0.9986, False
850, 0.9987, False
860, 0.9987, False
870, 0.9988, False
880, 0.9988, False
890, 0.9989, False
900, 0.9989, False
910, 0.999, False
920, 0.999, False
930, 0.999, False
940, 0.9991, False
950, 0.9991, False
960, 0.9992, False
970, 0.9992, False
980, 0.9993, False
990, 0.9993, False
1000, 0.9993, False
1010, 0.9994, False
1020, 0.9994, False
1030, 0.9995, False
1040, 0.9995, False
1050, 0.9995, False
1060, 0.9996, False
1070, 0.9996, False
1080, 0.9996, False
1090, 0.9997, False
1100, 0.9997, False
1110, 0.9998, False
1120, 0.9998, False
1130, 0.9998, False
1140, 0.9999, False
1150, 0.9999, False
1160, 0.9999, False
1170, 0.9999, False
1180, 0.9999, False
1190, 0.9999, False
1200, 0.9999, False
1250, 0.9999, False
1300, 0.9999, False
1350, 0.9999, False
1400, 0.9975, False
1450, 0.9999, False
1500, 0.9999, False
1550, 0.9999, False
1600, 0.9999, False
1650, 0.9999, False
1700, 0.9998, False
1750, 0.999, False
1800, 0.998, False
1850, 0.9969, False
1900, 0.9957, False
1950, 0.9943, False
2000, 0.993, False
2050, 0.9904, False
2100, 0.9833, False
2150, 0.9805, False
2200, 0.9743, False
2250, 0.9713, False
2300, 0.9729, False
2350, 0.9702, False
2400, 0.9641, False
2450, 0.9562, False
2500, 0.948, False
2550, 0.94, False
2600, 0.9389, False
2650, 0.9264, False
2700, 0.854, False
2750, 0.4, False
2800, 0.33, False
2850, 0.3585, False
2900, 0.39, False
2950, 0.4109, False
3000, 0.4219, False
3050, 0.4249, False
3100, 0.4236, False
3150, 0.4194, False
3200, 0.41, False
3250, 0.4011, False
3300, 0.3864, False
3350, 0.37, False
3400, 0.345, False
3450, 0.3093, False
3500, 0.2669, False
3550, 0.2314, False
3600, 0.212, False
3650, 0.1961, False
3700, 0.202, False
3750, 0.2246, False
3800, 0.24, False
3850, 0.2356, False
3900, 0.2195, False
3950, 0.2012, False
4000, 0.1864, False
4050, 0.1692, False
4100, 0.1516, False
4150, 0.1323, False
4200, 0.1092, False
4250, 0.0844, False
4300, 0.0597, False
4350, 0.03896, False
4400, 0.0223, False
4450, 0.01, False
4500, 0.004, False
4550, 0.001318, False
4600, 0.000407, False
4650, 0.0001191, False
4700, 4.227e-05, False
4750, 1.39e-05, False
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
