"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 5.1e-05, False
320, 0.006622, False
330, 0.07396, False
340, 0.2387, False
350, 0.4241, False
360, 0.5667, False
370, 0.629, False
380, 0.5968, False
390, 0.7166, False
400, 0.753, False
410, 0.748, False
420, 0.747, False
430, 0.754, False
440, 0.752, False
450, 0.7559, False
460, 0.779, False
470, 0.779, False
480, 0.777, False
490, 0.775, False
500, 0.772, False
510, 0.773, False
520, 0.777, False
530, 0.781, False
540, 0.784, False
550, 0.783, False
560, 0.782, False
570, 0.777, False
580, 0.773, False
590, 0.77, False
600, 0.771, False
610, 0.772, False
620, 0.772, False
630, 0.771, False
640, 0.769, False
650, 0.768, False
660, 0.769, False
670, 0.774, False
680, 0.781, False
690, 0.789, False
700, 0.792, False
710, 0.793, False
720, 0.791, False
730, 0.786, False
740, 0.782, False
750, 0.776, False
760, 0.77, False
770, 0.765, False
780, 0.758, False
790, 0.751, False
800, 0.744, False
810, 0.738, False
820, 0.73, False
830, 0.722, False
840, 0.717, False
850, 0.709, False
860, 0.703, False
870, 0.694, False
880, 0.685, False
890, 0.681, False
900, 0.675, False
910, 0.67, False
920, 0.664, False
930, 0.66, False
940, 0.655, False
950, 0.652, False
960, 0.645, False
970, 0.643, False
980, 0.639, False
990, 0.636, False
1000, 0.633, False
1010, 0.631, False
1020, 0.628, False
1030, 0.626, False
1040, 0.624, False
1050, 0.624, False
1060, 0.623, False
1070, 0.622, False
1080, 0.621, False
1090, 0.622, False
1100, 0.624, False
1110, 0.6254, False
1120, 0.6266, False
1130, 0.6278, False
1140, 0.629, False
1150, 0.6304, False
1160, 0.6318, False
1170, 0.6335, False
1180, 0.6353, False
1190, 0.6375, False
1200, 0.64, False
1250, 0.6616, False
1300, 0.68, False
1350, 0.703, False
1400, 0.7285, False
1450, 0.7473, False
1500, 0.769, False
1550, 0.7794, False
1600, 0.7841, False
1650, 0.7841, False
1700, 0.7831, False
1750, 0.7831, False
1800, 0.7831, False
1850, 0.7841, False
1900, 0.79, False
1950, 0.7935, False
2000, 0.8, False
2050, 0.8058, False
2100, 0.81, False
2150, 0.81, False
2200, 0.81, False
2250, 0.8124, False
2300, 0.82, False
2350, 0.8227, False
2400, 0.82, False
2450, 0.82, False
2500, 0.82, False
2550, 0.82, False
2600, 0.82, False
2650, 0.8133, False
2700, 0.74, False
2750, 0.2545, False
2800, 0.12, False
2850, 0.115, False
2900, 0.13, False
2950, 0.1527, False
3000, 0.1762, False
3050, 0.2073, False
3100, 0.24, False
3150, 0.2752, False
3200, 0.3091, False
3250, 0.3421, False
3300, 0.3525, False
3350, 0.3412, False
3400, 0.29, False
3450, 0.2186, False
3500, 0.15, False
3550, 0.1018, False
3600, 0.0735, False
3650, 0.0631, False
3700, 0.08, False
3750, 0.1159, False
3800, 0.1583, False
3850, 0.1725, False
3900, 0.1574, False
3950, 0.13, False
4000, 0.106, False
4050, 0.106, False
4100, 0.1058, False
4150, 0.1117, False
4200, 0.1162, False
4250, 0.1072, False
4300, 0.0871, False
4350, 0.06012, False
4400, 0.04169, False
4450, 0.02904, False
4500, 0.0172, False
4550, 0.01038, False
4600, 0.006, False
4650, 0.003459, False
4700, 0.001778, False
4750, 0.001052, False
4800, 0.0006607, False
4850, 0.0003846, False
4900, 0.0002089, False
4950, 0.0001007, False
5000, 3.236e-05, False
5050, 1.271e-05, False
5100, 1e-05, True
5150, 1e-05, True
