"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 1e-05, True
420, 1e-05, True
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 1e-05, True
500, 1e-05, True
510, 1e-05, True
520, 1e-05, True
530, 1e-05, True
540, 0.0001275, False
550, 0.008832, False
560, 0.1386, False
570, 0.5166, False
580, 0.8155, False
590, 0.9299, False
600, 0.9649, False
610, 0.9764, False
620, 0.9806, False
630, 0.9816, False
640, 0.9819, False
650, 0.9816, False
660, 0.981, False
670, 0.9802, False
680, 0.9793, False
690, 0.9784, False
700, 0.9775, False
710, 0.9764, False
720, 0.9752, False
730, 0.9737, False
740, 0.9722, False
750, 0.9706, False
760, 0.9691, False
770, 0.9676, False
780, 0.9661, False
790, 0.9644, False
800, 0.9629, False
810, 0.9613, False
820, 0.9599, False
830, 0.9586, False
840, 0.9574, False
850, 0.9563, False
860, 0.9553, False
870, 0.9544, False
880, 0.9535, False
890, 0.9527, False
900, 0.952, False
910, 0.9513, False
920, 0.9507, False
930, 0.9502, False
940, 0.9497, False
950, 0.9492, False
960, 0.9488, False
970, 0.9483, False
980, 0.9479, False
990, 0.9475, False
1000, 0.9471, False
1010, 0.9468, False
1020, 0.9465, False
1030, 0.9463, False
1040, 0.9461, False
1050, 0.946, False
1060, 0.9459, False
1070, 0.9458, False
1080, 0.9458, False
1090, 0.9457, False
1100, 0.9457, False
1110, 0.9458, False
1120, 0.9458, False
1130, 0.9459, False
1140, 0.9461, False
1150, 0.9462, False
1160, 0.9464, False
1170, 0.9465, False
1180, 0.9467, False
1190, 0.9469, False
1200, 0.947, False
1250, 0.9483, False
1300, 0.9503, False
1350, 0.9529, False
1400, 0.9529, False
1450, 0.9584, False
1500, 0.9625, False
1550, 0.9661, False
1600, 0.9689, False
1650, 0.9708, False
1700, 0.9711, False
1750, 0.9701, False
1800, 0.9686, False
1850, 0.9666, False
1900, 0.9643, False
1950, 0.962, False
2000, 0.9597, False
2050, 0.9572, False
2100, 0.9544, False
2150, 0.9502, False
2200, 0.936, False
2250, 0.9328, False
2300, 0.9352, False
2350, 0.9337, False
2400, 0.9302, False
2450, 0.9224, False
2500, 0.9125, False
2550, 0.9111, False
2600, 0.9121, False
2650, 0.8991, False
2700, 0.8288, False
2750, 0.4551, False
2800, 0.3544, False
2850, 0.3574, False
2900, 0.3675, False
2950, 0.3676, False
3000, 0.3531, False
3050, 0.332, False
3100, 0.3052, False
3150, 0.2759, False
3200, 0.2507, False
3250, 0.2286, False
3300, 0.2093, False
3350, 0.1906, False
3400, 0.173, False
3450, 0.1604, False
3500, 0.154, False
3550, 0.1536, False
3600, 0.1568, False
3650, 0.1618, False
3700, 0.1671, False
3750, 0.173, False
3800, 0.1787, False
3850, 0.1839, False
3900, 0.1879, False
3950, 0.1893, False
4000, 0.1838, False
4050, 0.17, False
4100, 0.1503, False
4150, 0.1297, False
4200, 0.109, False
4250, 0.08758, False
4300, 0.06582, False
4350, 0.04375, False
4400, 0.02518, False
4450, 0.01145, False
4500, 0.00494, False
4550, 0.001875, False
4600, 0.000661, False
4650, 0.00025, False
4700, 0.0001134, False
4750, 5.284e-05, False
4800, 2.512e-05, False
4850, 1.226e-05, False
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
