"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 1e-05, True
420, 1e-05, True
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 1e-05, True
500, 1e-05, True
510, 1e-05, True
520, 1e-05, True
530, 1e-05, True
540, 1e-05, True
550, 1e-05, True
560, 1e-05, True
570, 1e-05, True
580, 1e-05, True
590, 1e-05, True
600, 1e-05, True
610, 1e-05, True
620, 1e-05, True
630, 1e-05, True
640, 1e-05, True
650, 1e-05, True
660, 1e-05, True
670, 1e-05, True
680, 1e-05, True
690, 1e-05, True
700, 1e-05, True
710, 1e-05, True
720, 1e-05, True
730, 1e-05, True
740, 1e-05, True
750, 1e-05, True
760, 1e-05, True
770, 1e-05, True
780, 1e-05, True
790, 2.575e-05, False
800, 8.394e-05, False
810, 0.0002455, False
820, 0.0006502, False
830, 0.001551, False
840, 0.003371, False
850, 0.006757, False
860, 0.01254, False
870, 0.02229, False
880, 0.03617, False
890, 0.05218, False
900, 0.0767, False
910, 0.1073, False
920, 0.1407, False
930, 0.1822, False
940, 0.2248, False
950, 0.2726, False
960, 0.3177, False
970, 0.3676, False
980, 0.4135, False
990, 0.4614, False
1000, 0.5029, False
1010, 0.5464, False
1020, 0.5848, False
1030, 0.6192, False
1040, 0.6527, False
1050, 0.6821, False
1060, 0.7085, False
1070, 0.732, False
1080, 0.7538, False
1090, 0.7734, False
1100, 0.7917, False
1110, 0.808, False
1120, 0.8226, False
1130, 0.835, False
1140, 0.8459, False
1150, 0.8561, False
1160, 0.8656, False
1170, 0.8739, False
1180, 0.8816, False
1190, 0.8879, False
1200, 0.894, False
1250, 0.9176, False
1300, 0.9335, False
1350, 0.9438, False
1400, 0.9518, False
1450, 0.9583, False
1500, 0.964, False
1550, 0.9687, False
1600, 0.972, False
1650, 0.9747, False
1700, 0.9764, False
1750, 0.977, False
1800, 0.9763, False
1850, 0.975, False
1900, 0.9733, False
1950, 0.9715, False
2000, 0.969, False
2050, 0.966, False
2100, 0.9622, False
2150, 0.9551, False
2200, 0.9439, False
2250, 0.9342, False
2300, 0.932, False
2350, 0.9284, False
2400, 0.9216, False
2450, 0.9138, False
2500, 0.9054, False
2550, 0.8959, False
2600, 0.8861, False
2650, 0.874, False
2700, 0.837, False
2750, 0.5716, False
2800, 0.4462, False
2850, 0.424, False
2900, 0.4138, False
2950, 0.3942, False
3000, 0.3704, False
3050, 0.3373, False
3100, 0.3015, False
3150, 0.2644, False
3200, 0.2303, False
3250, 0.2013, False
3300, 0.1753, False
3350, 0.1507, False
3400, 0.1302, False
3450, 0.1174, False
3500, 0.1088, False
3550, 0.103, False
3600, 0.09915, False
3650, 0.09763, False
3700, 0.098, False
3750, 0.1002, False
3800, 0.1036, False
3850, 0.108, False
3900, 0.1136, False
3950, 0.1179, False
4000, 0.1161, False
4050, 0.1089, False
4100, 0.0984, False
4150, 0.08574, False
4200, 0.07245, False
4250, 0.05855, False
4300, 0.04286, False
4350, 0.02926, False
4400, 0.01762, False
4450, 0.00853, False
4500, 0.003477, False
4550, 0.0013, False
4600, 0.0004406, False
4650, 0.0001603, False
4700, 6.397e-05, False
4750, 3.404e-05, False
4800, 2.249e-05, False
4850, 1.445e-05, False
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
