"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 0.001751, False
350, 0.1027, False
360, 0.3035, False
370, 0.5979, False
380, 0.7672, False
390, 0.8431, False
400, 0.408, False
410, 0.7567, False
420, 0.8714, False
430, 0.9625, False
440, 0.9508, False
450, 0.964, False
460, 0.9014, False
470, 0.8266, False
480, 0.9043, False
490, 0.9311, False
500, 0.9713, False
510, 0.9947, False
520, 0.9973, False
530, 0.9927, False
540, 0.9965, False
550, 0.9949, False
560, 0.9903, False
570, 0.9952, False
580, 0.9995, False
590, 0.9999, False
600, 0.997, False
610, 0.9974, False
620, 0.9975, False
630, 0.9977, False
640, 0.9979, False
650, 0.9981, False
660, 0.9982, False
670, 0.9979, False
680, 0.9984, False
690, 0.9988, False
700, 0.9989, False
710, 0.9988, False
720, 0.9989, False
730, 0.999, False
740, 0.9987, False
750, 0.9992, False
760, 0.9983, False
770, 0.999, False
780, 0.999, False
790, 0.999, False
800, 0.9992, False
810, 0.9995, False
820, 0.9991, False
830, 0.9993, False
840, 0.9989, False
850, 0.9986, False
860, 0.9977, False
870, 0.9993, False
880, 0.9989, False
890, 0.9976, False
900, 0.9949, False
910, 0.9879, False
920, 0.9718, False
930, 0.945, False
940, 0.9254, False
950, 0.9309, False
960, 0.9561, False
970, 0.9777, False
980, 0.9918, False
990, 0.9972, False
1000, 0.9973, False
1010, 0.9941, False
1020, 0.9872, False
1030, 0.9746, False
1040, 0.944, False
1050, 0.8572, False
1060, 0.6792, False
1070, 0.5165, False
1080, 0.5608, False
1090, 0.7086, False
1100, 0.7904, False
1110, 0.8478, False
1120, 0.9123, False
1130, 0.9613, False
1140, 0.9799, False
1150, 0.9797, False
1160, 0.9701, False
1170, 0.9496, False
1180, 0.9061, False
1190, 0.8117, False
1200, 0.6513, False
1250, 0.6393, False
1300, 0.8795, False
1350, 0.556, False
1400, 0.6197, False
1450, 0.5378, False
1500, 0.6209, False
1550, 0.6524, False
1600, 0.8107, False
1650, 0.9225, False
1700, 0.9925, False
1750, 0.9908, False
1800, 0.9775, False
1850, 0.9583, False
1900, 0.9454, False
1950, 0.9425, False
2000, 0.9518, False
2050, 0.9739, False
2100, 0.9796, False
2150, 0.985, False
2200, 0.9873, False
2250, 0.9845, False
2300, 0.9811, False
2350, 0.9704, False
2400, 0.9475, False
2450, 0.9106, False
2500, 0.8676, False
2550, 0.8334, False
2600, 0.8267, False
2650, 0.8399, False
2700, 0.8516, False
2750, 0.7606, False
2800, 0.6575, False
2850, 0.6406, False
2900, 0.6365, False
2950, 0.6345, False
3000, 0.6321, False
3050, 0.6265, False
3100, 0.6167, False
3150, 0.6036, False
3200, 0.5884, False
3250, 0.5718, False
3300, 0.5542, False
3350, 0.5352, False
3400, 0.5126, False
3450, 0.4911, False
3500, 0.472, False
3550, 0.4617, False
3600, 0.4564, False
3650, 0.4492, False
3700, 0.4375, False
3750, 0.4176, False
3800, 0.4038, False
3850, 0.4062, False
3900, 0.4102, False
3950, 0.4048, False
4000, 0.3874, False
4050, 0.3685, False
4100, 0.3564, False
4150, 0.3516, False
4200, 0.3436, False
4250, 0.3254, False
4300, 0.2994, False
4350, 0.2655, False
4400, 0.2188, False
4450, 0.1625, False
4500, 0.1064, False
4550, 0.0599, False
4600, 0.02838, False
4650, 0.01261, False
4700, 0.005539, False
4750, 0.002426, False
4800, 0.001089, False
4850, 0.0005416, False
4900, 0.0003059, False
4950, 0.0001974, False
5000, 0.0001355, False
5050, 9.711e-05, False
5100, 6.627e-05, False
5150, 4.091e-05, False
