"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 0.003762, False
420, 0.009953, False
430, 0.0165, False
440, 0.03046, False
450, 0.05121, False
460, 0.0823, False
470, 0.1248, False
480, 0.1794, False
490, 0.2659, False
500, 0.3449, False
510, 0.3761, False
520, 0.3701, False
530, 0.3578, False
540, 0.5335, False
550, 0.5462, False
560, 0.4795, False
570, 0.1834, False
580, 0.08299, False
590, 0.05203, False
600, 0.1122, False
610, 0.1127, False
620, 0.09318, False
630, 0.06941, False
640, 0.05888, False
650, 0.05005, False
660, 0.04456, False
670, 0.04374, False
680, 0.04445, False
690, 0.03929, False
700, 0.04328, False
710, 0.04748, False
720, 0.05215, False
730, 0.05249, False
740, 0.02429, False
750, 0.02797, False
760, 0.05401, False
770, 0.07056, False
780, 0.07483, False
790, 0.06097, False
800, 0.03835, False
810, 0.02828, False
820, 0.07119, False
830, 0.09166, False
840, 0.1038, False
850, 0.1097, False
860, 0.1057, False
870, 0.0977, False
880, 0.09302, False
890, 0.1124, False
900, 0.1301, False
910, 0.1449, False
920, 0.156, False
930, 0.1658, False
940, 0.1757, False
950, 0.1848, False
960, 0.1948, False
970, 0.2037, False
980, 0.2149, False
990, 0.2249, False
1000, 0.2371, False
1010, 0.248, False
1020, 0.2598, False
1030, 0.2716, False
1040, 0.2827, False
1050, 0.295, False
1060, 0.3073, False
1070, 0.3189, False
1080, 0.3307, False
1090, 0.342, False
1100, 0.3535, False
1110, 0.365, False
1120, 0.3779, False
1130, 0.3891, False
1140, 0.4021, False
1150, 0.4136, False
1160, 0.4259, False
1170, 0.4384, False
1180, 0.4488, False
1190, 0.4617, False
1200, 0.4725, False
1250, 0.5288, False
1300, 0.5811, False
1350, 0.628, False
1400, 0.6701, False
1450, 0.7065, False
1500, 0.7348, False
1550, 0.7519, False
1600, 0.7756, False
1650, 0.8104, False
1700, 0.8315, False
1750, 0.853, False
1800, 0.8725, False
1850, 0.8867, False
1900, 0.8979, False
1950, 0.9084, False
2000, 0.9168, False
2050, 0.9254, False
2100, 0.9295, False
2150, 0.9326, False
2200, 0.9303, False
2250, 0.9292, False
2300, 0.9054, False
2350, 0.8359, False
2400, 0.804, False
2450, 0.8206, False
2500, 0.8337, False
2550, 0.8554, False
2600, 0.8778, False
2650, 0.8986, False
2700, 0.8943, False
2750, 0.6253, False
2800, 0.4937, False
2850, 0.5009, False
2900, 0.5203, False
2950, 0.539, False
3000, 0.5543, False
3050, 0.5634, False
3100, 0.5656, False
3150, 0.562, False
3200, 0.5546, False
3250, 0.545, False
3300, 0.5346, False
3350, 0.524, False
3400, 0.5139, False
3450, 0.5054, False
3500, 0.5, False
3550, 0.499, False
3600, 0.5022, False
3650, 0.5062, False
3700, 0.5118, False
3750, 0.5188, False
3800, 0.5291, False
3850, 0.5408, False
3900, 0.5474, False
3950, 0.5475, False
4000, 0.5411, False
4050, 0.5286, False
4100, 0.5098, False
4150, 0.4845, False
4200, 0.453, False
4250, 0.4152, False
4300, 0.3734, False
4350, 0.3278, False
4400, 0.2778, False
4450, 0.2258, False
4500, 0.1749, False
4550, 0.1294, False
4600, 0.09202, False
4650, 0.06337, False
4700, 0.04275, False
4750, 0.0292, False
4800, 0.02065, False
4850, 0.01526, False
4900, 0.01114, False
4950, 0.00739, False
5000, 0.004413, False
5050, 0.002345, False
5100, 0.001315, False
5150, 0.000792, False
