"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 0.002355, False
380, 0.01874, False
390, 0.06302, False
400, 0.1283, False
410, 0.1895, False
420, 0.2062, False
430, 0.1849, False
440, 0.212, False
450, 0.2043, False
460, 0.1831, False
470, 0.1702, False
480, 0.1699, False
490, 0.2016, False
500, 0.1892, False
510, 0.147, False
520, 0.1503, False
530, 0.09059, False
540, 0.2057, False
550, 0.2561, False
560, 0.2571, False
570, 0.04613, False
580, 0.01691, False
590, 0.01121, False
600, 0.1025, False
610, 0.1928, False
620, 0.2458, False
630, 0.228, False
640, 0.2216, False
650, 0.2103, False
660, 0.1988, False
670, 0.1818, False
680, 0.1619, False
690, 0.1566, False
700, 0.1669, False
710, 0.1651, False
720, 0.1594, False
730, 0.1295, False
740, 0.02216, False
750, 0.02719, False
760, 0.08913, False
770, 0.1371, False
780, 0.1396, False
790, 0.08357, False
800, 0.03197, False
810, 0.01562, False
820, 0.09677, False
830, 0.1552, False
840, 0.1911, False
850, 0.203, False
860, 0.1797, False
870, 0.1442, False
880, 0.1193, False
890, 0.1714, False
900, 0.219, False
910, 0.2503, False
920, 0.269, False
930, 0.2877, False
940, 0.3005, False
950, 0.3134, False
960, 0.3256, False
970, 0.3377, False
980, 0.3497, False
990, 0.361, False
1000, 0.3748, False
1010, 0.387, False
1020, 0.3999, False
1030, 0.4119, False
1040, 0.4244, False
1050, 0.4365, False
1060, 0.4478, False
1070, 0.4601, False
1080, 0.4717, False
1090, 0.4848, False
1100, 0.4965, False
1110, 0.5084, False
1120, 0.52, False
1130, 0.5308, False
1140, 0.5419, False
1150, 0.5532, False
1160, 0.5639, False
1170, 0.575, False
1180, 0.584, False
1190, 0.5946, False
1200, 0.6036, False
1250, 0.6515, False
1300, 0.6941, False
1350, 0.7265, False
1400, 0.7539, False
1450, 0.7724, False
1500, 0.7855, False
1550, 0.8051, False
1600, 0.8025, False
1650, 0.8468, False
1700, 0.8651, False
1750, 0.8836, False
1800, 0.8956, False
1850, 0.8965, False
1900, 0.8993, False
1950, 0.9102, False
2000, 0.9235, False
2050, 0.9337, False
2100, 0.9408, False
2150, 0.941, False
2200, 0.9327, False
2250, 0.918, False
2300, 0.859, False
2350, 0.72, False
2400, 0.6736, False
2450, 0.705, False
2500, 0.7315, False
2550, None, False
2600, None, False
2650, None, False
2700, None, False
2750, None, False
2800, None, False
2850, None, False
2900, None, False
2950, None, False
3000, None, False
3050, None, False
3100, None, False
3150, None, False
3200, None, False
3250, None, False
3300, None, False
3350, None, False
3400, None, False
3450, None, False
3500, None, False
3550, None, False
3600, None, False
3650, None, False
3700, None, False
3750, None, False
3800, None, False
3850, None, False
3900, None, False
3950, None, False
4000, None, False
4050, None, False
4100, None, False
4150, None, False
4200, None, False
4250, None, False
4300, None, False
4350, None, False
4400, None, False
4450, None, False
4500, None, False
4550, None, False
4600, None, False
4650, None, False
4700, None, False
4750, None, False
4800, None, False
4850, None, False
4900, None, False
4950, None, False
5000, None, False
5050, None, False
5100, None, False
5150, None, False
