"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 2.234e-05, False
220, 0.069, False
230, 0.45, False
240, 0.718, False
250, 0.826, False
260, 0.879, False
270, 0.912, False
280, 0.939, False
290, 0.952, False
300, 0.96, False
310, 0.9656, False
320, 0.9757, False
330, 0.9802, False
340, 0.9816, False
350, 0.9809, False
360, 0.9761, False
370, 0.96, False
380, 0.912, False
390, 0.787, False
400, 0.57, False
410, 0.36, False
420, 0.236, False
430, 0.178, False
440, 0.168, False
450, 0.178, False
460, 0.183, False
470, 0.166, False
480, 0.147, False
490, 0.126, False
500, 0.095, False
510, 0.07, False
520, 0.046, False
530, 0.033, False
540, 0.03041, False
550, 0.03015, False
560, 0.022, False
570, 0.01136, False
580, 0.00781, False
590, 0.00902, False
600, 0.01203, False
610, 0.01514, False
620, 0.01703, False
630, 0.02304, False
640, 0.044, False
650, 0.101, False
660, 0.227, False
670, 0.414, False
680, 0.595, False
690, 0.727, False
700, 0.799, False
710, 0.829, False
720, 0.832, False
730, 0.818, False
740, 0.795, False
750, 0.769, False
760, 0.743, False
770, 0.719, False
780, 0.698, False
790, 0.6789, False
800, 0.665, False
810, 0.655, False
820, 0.6476, False
830, 0.6436, False
840, 0.642, False
850, 0.6443, False
860, 0.6463, False
870, 0.6476, False
880, 0.6487, False
890, 0.6518, False
900, 0.6543, False
910, 0.6606, False
920, 0.6628, False
930, 0.6694, False
940, 0.6745, False
950, 0.6826, False
960, 0.6876, False
970, 0.6962, False
980, 0.703, False
990, 0.7112, False
1000, 0.7164, False
1010, 0.7232, False
1020, 0.7278, False
1030, 0.7317, False
1040, 0.7338, False
1050, 0.7344, False
1060, 0.7347, False
1070, 0.7305, False
1080, 0.7267, False
1090, 0.7194, False
1100, 0.7118, False
1110, 0.6962, False
1120, 0.6834, False
1130, 0.6725, False
1140, 0.6615, False
1150, 0.6444, False
1160, 0.6248, False
1170, 0.6122, False
1180, 0.5947, False
1190, 0.5762, False
1200, 0.56, False
1250, 0.4893, False
1300, 0.4429, False
1350, 0.4351, False
1400, 0.44, False
1450, 0.4374, False
1500, 0.4343, False
1550, 0.4374, False
1600, 0.4555, False
1650, 0.4767, False
1700, 0.49, False
1750, 0.4979, False
1800, 0.5, False
1850, 0.5128, False
1900, 0.5293, False
1950, 0.5529, False
2000, 0.57, False
2050, 0.5874, False
2100, 0.6, False
2150, 0.6094, False
2200, 0.6039, False
2250, 0.5992, False
2300, 0.5961, False
2350, 0.6, False
2400, 0.6, False
2450, 0.5969, False
2500, 0.5835, False
2550, 0.5246, False
2600, 0.501, False
2650, 0.4806, False
2700, 0.4461, False
2750, 0.3534, False
2800, 0.12, False
2850, 0.03622, False
2900, 0.01396, False
2950, 0.007228, False
3000, 0.003784, False
3050, 0.002037, False
3100, 0.001169, False
3150, 0.000743, False
3200, 0.0004775, False
3250, 0.0003236, False
3300, 0.0002296, False
3350, 0.000191, False
3400, 0.0001758, False
3450, 0.0001758, False
3500, 0.000191, False
3550, 0.0002133, False
3600, 0.0002547, False
3650, 0.0003, False
3700, 0.0003581, False
3750, 0.0004036, False
3800, 0.000413, False
3850, 0.0003873, False
3900, 0.0003451, False
3950, 0.000278, False
4000, 0.0002, False
4050, 0.0001271, False
4100, 8.166e-05, False
4150, 5.902e-05, False
4200, 5.093e-05, False
4250, 5.433e-05, False
4300, 7e-05, False
4350, 0.0001009, False
4400, 0.0001371, False
4450, 0.0001726, False
4500, 0.0002113, False
4550, 0.000257, False
4600, 0.0003, False
4650, 0.0003516, False
4700, 0.0004, False
4750, 0.0004315, False
4800, 0.0004688, False
4850, 0.0004909, False
4900, 0.0005, False
4950, 0.0005, False
5000, 0.0004955, False
5050, 0.0004645, False
5100, 0.0004, False
5150, 0.0002742, False
