"id", "thickness /mm"
"BG18", 1.0
"BG25", 1.0
"BG3", 1.0
"BG36", 1.0
"BG38", 1.0
"BG39", 1.0
"BG40", 1.0
"BG42", 1.0
"BG47", 1.0
"BG55", 1.0
"BG59", 1.0
"BG60", 1.0
"BG60HT", 1.0
"BG61", 1.0
"BG62", 1.0
"BG62HT", 1.0
"BG63", 1.0
"BG64", 1.0
"BG66", 1.0
"BG66HS", 1.0
"BG67", 1.0
"BG67HT", 1.0
"BG7", 1.0
"GG395", 3.0
"GG400", 3.0
"GG420", 3.0
"GG435", 3.0
"GG455", 3.0
"GG475", 3.0
"GG495", 3.0
"KG1", 2.0
"KG2", 2.0
"KG3", 2.0
"KG5", 2.0
"N-WG205", 2.0
"N-WG280", 2.0
"N-WG295", 2.0
"N-WG305", 2.0
"N-WG320", 2.0
"N-WG360", 2.0
"NG1", 1.0
"NG11", 1.0
"NG3", 1.0
"NG4", 1.0
"NG5", 1.0
"NG9", 1.0
"OG515", 3.0
"OG530", 3.0
"OG550", 3.0
"OG570", 3.0
"OG590", 3.0
"RG1000", 3.0
"RG610", 3.0
"RG630", 3.0
"RG645", 3.0
"RG665", 3.0
"RG695", 3.0
"RG715", 3.0
"RG780", 3.0
"RG830", 3.0
"RG850", 3.0
"RG9", 3.0
"RG905", 4.0
"S7000", 2.0
"S7005", 2.0
"S7010N", 2.0
"S8008G", 1.0
"S8022", 2.0
"S8023", 3.0
"S8612", 1.0
"S8802", 3.5
"S8806A", 2.5
"S8808", 3.5
"S8809", 2.2
"S8851", 2.0
"UG1", 1.0
"UG11", 1.0
"UG2A", 3.0
"UG5", 1.0
"VG20", 1.0
"VG9", 1.0
