"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1.091e-05, False
330, 0.005414, False
340, 0.07963, False
350, 0.2609, False
360, 0.4385, False
370, 0.5592, False
380, 0.6359, False
390, 0.6861, False
400, 0.7241, False
410, 0.7548, False
420, 0.7817, False
430, 0.8047, False
440, 0.8263, False
450, 0.8455, False
460, 0.862, False
470, 0.8761, False
480, 0.8878, False
490, 0.8965, False
500, 0.901, False
510, 0.8996, False
520, 0.8902, False
530, 0.8704, False
540, 0.8363, False
550, 0.7859, False
560, 0.7179, False
570, 0.633, False
580, 0.5365, False
590, 0.4347, False
600, 0.3347, False
610, 0.2446, False
620, 0.1691, False
630, 0.1115, False
640, 0.06907, False
650, 0.04086, False
660, 0.02302, False
670, 0.01251, False
680, 0.006564, False
690, 0.003364, False
700, 0.001703, False
710, 0.0008557, False
720, 0.0004359, False
730, 0.0002284, False
740, 0.0001222, False
750, 6.774e-05, False
760, 3.935e-05, False
770, 2.448e-05, False
780, 1.61e-05, False
790, 1.109e-05, False
800, 1e-05, True
810, 1e-05, True
820, 1e-05, True
830, 1e-05, True
840, 1e-05, True
850, 1e-05, True
860, 1e-05, True
870, 1e-05, True
880, 1e-05, True
890, 1e-05, True
900, 1e-05, True
910, 1e-05, True
920, 1e-05, True
930, 1.165e-05, False
940, 1.541e-05, False
950, 1.755e-05, False
960, 2.479e-05, False
970, 2.87e-05, False
980, 4.02e-05, False
990, 4.506e-05, False
1000, 6.306e-05, False
1010, 8.451e-05, False
1020, 0.0001094, False
1030, 0.0001406, False
1040, 0.0001816, False
1050, 0.0002297, False
1060, 0.0002932, False
1070, 0.0003653, False
1080, 0.0004627, False
1090, 0.0005805, False
1100, 0.000739, False
1110, 0.0009134, False
1120, 0.001135, False
1130, 0.001415, False
1140, 0.001732, False
1150, 0.002149, False
1160, 0.00262, False
1170, 0.003235, False
1180, 0.003803, False
1190, 0.004695, False
1200, 0.005724, False
1250, 0.01361, False
1300, 0.02886, False
1350, 0.05506, False
1400, 0.09391, False
1450, 0.1474, False
1500, 0.2108, False
1550, 0.2833, False
1600, 0.3593, False
1650, 0.4329, False
1700, 0.5028, False
1750, 0.5686, False
1800, 0.6275, False
1850, 0.6784, False
1900, 0.7221, False
1950, 0.7604, False
2000, 0.7928, False
2050, 0.8197, False
2100, 0.8428, False
2150, 0.8618, False
2200, 0.8757, False
2250, 0.8858, False
2300, 0.8963, False
2350, 0.9053, False
2400, 0.9126, False
2450, 0.918, False
2500, 0.9193, False
2550, 0.9208, False
2600, 0.9215, False
2650, 0.9213, False
2700, 0.9177, False
2750, 0.9065, False
2800, 0.8575, False
2850, 0.7696, False
2900, 0.6891, False
2950, 0.6267, False
3000, 0.5754, False
3050, 0.5287, False
3100, 0.4846, False
3150, 0.4432, False
3200, 0.4065, False
3250, 0.3749, False
3300, 0.3489, False
3350, 0.3284, False
3400, 0.3129, False
3450, 0.3039, False
3500, 0.3002, False
3550, 0.3034, False
3600, 0.3118, False
3650, 0.326, False
3700, 0.3448, False
3750, 0.3621, False
3800, 0.3647, False
3850, 0.3416, False
3900, 0.2998, False
3950, 0.2524, False
4000, 0.194, False
4050, 0.1235, False
4100, 0.06781, False
4150, 0.03506, False
4200, 0.01926, False
4250, 0.01309, False
4300, 0.01218, False
4350, 0.0128, False
4400, 0.01197, False
4450, 0.009752, False
4500, 0.007643, False
4550, 0.006426, False
4600, 0.006306, False
4650, 0.008001, False
4700, 0.01261, False
4750, 0.02046, False
4800, 0.03035, False
4850, 0.04167, False
4900, 0.0551, False
4950, 0.07229, False
5000, 0.09193, False
5050, 0.1109, False
5100, 0.1255, False
5150, 0.1323, False
