"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1.339e-05, False
330, 0.00593, False
340, 0.09512, False
350, 0.3042, False
360, 0.5087, False
370, 0.642, False
380, 0.7214, False
390, 0.7694, False
400, 0.8016, False
410, 0.8257, False
420, 0.8456, False
430, 0.8627, False
440, 0.8779, False
450, 0.8919, False
460, 0.9036, False
470, 0.9121, False
480, 0.919, False
490, 0.9251, False
500, 0.9261, False
510, 0.9214, False
520, 0.9089, False
530, 0.8856, False
540, 0.8483, False
550, 0.7945, False
560, 0.7232, False
570, 0.6361, False
580, 0.5373, False
590, 0.4338, False
600, 0.3335, False
610, 0.2433, False
620, 0.1683, False
630, 0.111, False
640, 0.06912, False
650, 0.04089, False
660, 0.02308, False
670, 0.01259, False
680, 0.006615, False
690, 0.003406, False
700, 0.001849, False
710, 0.0008801, False
720, 0.0004531, False
730, 0.000236, False
740, 0.0001276, False
750, 7.146e-05, False
760, 4.179e-05, False
770, 2.577e-05, False
780, 1.695e-05, False
790, 1.17e-05, False
800, 1e-05, True
810, 1e-05, True
820, 1e-05, True
830, 1e-05, True
840, 1e-05, True
850, 1e-05, True
860, 1e-05, True
870, 1e-05, True
880, 1e-05, True
890, 1e-05, True
900, 1e-05, True
910, 1e-05, True
920, 1.017e-05, False
930, 1.146e-05, False
940, 1.861e-05, False
950, 2.151e-05, False
960, 2.868e-05, False
970, 3.657e-05, False
980, 4.364e-05, False
990, 5.597e-05, False
1000, 7.191e-05, False
1010, 9.398e-05, False
1020, 0.0001185, False
1030, 0.0001571, False
1040, 0.0002103, False
1050, 0.0002391, False
1060, 0.0003161, False
1070, 0.0004016, False
1080, 0.0005109, False
1090, 0.0006481, False
1100, 0.0007708, False
1110, 0.0009495, False
1120, 0.001194, False
1130, 0.001417, False
1140, 0.001889, False
1150, 0.00219, False
1160, 0.002656, False
1170, 0.00328, False
1180, 0.003977, False
1190, 0.004816, False
1200, 0.005792, False
1250, 0.0142, False
1300, 0.02938, False
1350, 0.05598, False
1400, 0.0947, False
1450, 0.147, False
1500, 0.2097, False
1550, 0.2813, False
1600, 0.3563, False
1650, 0.4329, False
1700, 0.5036, False
1750, 0.5702, False
1800, 0.6281, False
1850, 0.6812, False
1900, 0.7279, False
1950, 0.7606, False
2000, 0.7936, False
2050, 0.8208, False
2100, 0.8458, False
2150, 0.8616, False
2200, 0.8764, False
2250, 0.8864, False
2300, 0.9006, False
2350, 0.9081, False
2400, 0.9143, False
2450, 0.9208, False
2500, 0.9204, False
2550, 0.9214, False
2600, 0.9213, False
2650, 0.9202, False
2700, 0.9166, False
2750, 0.9057, False
2800, 0.8625, False
2850, 0.7851, False
2900, 0.7123, False
2950, 0.6549, False
3000, 0.6073, False
3050, 0.5638, False
3100, 0.5224, False
3150, 0.4834, False
3200, 0.4482, False
3250, 0.4175, False
3300, 0.3919, False
3350, 0.3714, False
3400, 0.3556, False
3450, 0.3461, False
3500, 0.3419, False
3550, 0.3445, False
3600, 0.3524, False
3650, 0.3662, False
3700, 0.3841, False
3750, 0.4004, False
3800, 0.4015, False
3850, 0.3755, False
3900, 0.3297, False
3950, 0.278, False
4000, 0.2153, False
4050, 0.1386, False
4100, 0.07754, False
4150, 0.04183, False
4200, 0.02268, False
4250, 0.01526, False
4300, 0.01405, False
4350, 0.0144, False
4400, 0.01317, False
4450, 0.01057, False
4500, 0.008216, False
4550, 0.006843, False
4600, 0.00669, False
4650, 0.008518, False
4700, 0.01353, False
4750, 0.02221, False
4800, 0.03359, False
4850, 0.04702, False
4900, 0.06337, False
4950, 0.08489, False
5000, 0.1098, False
5050, 0.1335, False
5100, 0.1508, False
5150, 0.1578, False
