"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 0.0009746, False
340, 0.03686, False
350, 0.1848, False
360, 0.375, False
370, 0.5257, False
380, 0.6234, False
390, 0.6849, False
400, 0.7276, False
410, 0.76, False
420, 0.786, False
430, 0.8087, False
440, 0.8292, False
450, 0.8471, False
460, 0.8626, False
470, 0.8758, False
480, 0.8864, False
490, 0.8933, False
500, 0.895, False
510, 0.8901, False
520, 0.8752, False
530, 0.8479, False
540, 0.8039, False
550, 0.7414, False
560, 0.6603, False
570, 0.5644, False
580, 0.46, False
590, 0.3557, False
600, 0.2598, False
610, 0.1786, False
620, 0.1154, False
630, 0.07064, False
640, 0.04057, False
650, 0.02192, False
660, 0.01135, False
670, 0.005713, False
680, 0.002706, False
690, 0.00131, False
700, 0.0006095, False
710, 0.0002798, False
720, 0.0001318, False
730, 6.345e-05, False
740, 3.181e-05, False
750, 1.671e-05, False
760, 1e-05, True
770, 1e-05, True
780, 1e-05, True
790, 1e-05, True
800, 1e-05, True
810, 1e-05, True
820, 1e-05, True
830, 1e-05, True
840, 1e-05, True
850, 1e-05, True
860, 1e-05, True
870, 1e-05, True
880, 1e-05, True
890, 1e-05, True
900, 1e-05, True
910, 1e-05, True
920, 1e-05, True
930, 1e-05, True
940, 1e-05, True
950, 1e-05, True
960, 1e-05, True
970, 1e-05, True
980, 1e-05, True
990, 1.098e-05, False
1000, 1.558e-05, False
1010, 2.078e-05, False
1020, 2.785e-05, False
1030, 3.659e-05, False
1040, 4.852e-05, False
1050, 6.733e-05, False
1060, 8.545e-05, False
1070, 0.0001127, False
1080, 0.0001454, False
1090, 0.0001854, False
1100, 0.0002451, False
1110, 0.0003149, False
1120, 0.00039, False
1130, 0.0005114, False
1140, 0.0006304, False
1150, 0.0008148, False
1160, 0.001017, False
1170, 0.001283, False
1180, 0.001561, False
1190, 0.001978, False
1200, 0.002514, False
1250, 0.006007, False
1300, 0.01525, False
1350, 0.03121, False
1400, 0.05831, False
1450, 0.09706, False
1500, 0.1543, False
1550, 0.2162, False
1600, 0.2816, False
1650, 0.3501, False
1700, 0.4212, False
1750, 0.4883, False
1800, 0.5511, False
1850, 0.6065, False
1900, 0.6553, False
1950, 0.6989, False
2000, 0.7349, False
2050, 0.7661, False
2100, 0.7934, False
2150, 0.815, False
2200, 0.8318, False
2250, 0.8467, False
2300, 0.8577, False
2350, 0.8709, False
2400, 0.8798, False
2450, 0.8858, False
2500, 0.8891, False
2550, 0.8938, False
2600, 0.8939, False
2650, 0.8927, False
2700, 0.8877, False
2750, 0.8715, False
2800, 0.8004, False
2850, 0.677, False
2900, 0.5736, False
2950, 0.502, False
3000, 0.449, False
3050, 0.4039, False
3100, 0.3635, False
3150, 0.3275, False
3200, 0.2968, False
3250, 0.2714, False
3300, 0.2513, False
3350, 0.2363, False
3400, 0.2259, False
3450, 0.2202, False
3500, 0.2192, False
3550, 0.2233, False
3600, 0.2327, False
3650, 0.2474, False
3700, 0.2668, False
3750, 0.2868, False
3800, 0.2981, False
3850, 0.2898, False
3900, 0.2617, False
3950, 0.2215, False
4000, 0.1714, False
4050, 0.1138, False
4100, 0.06435, False
4150, 0.03347, False
4200, 0.01817, False
4250, 0.01184, False
4300, 0.009431, False
4350, 0.008061, False
4400, 0.006827, False
4450, 0.005629, False
4500, 0.004562, False
4550, 0.003951, False
4600, 0.004022, False
4650, 0.005088, False
4700, 0.007678, False
4750, 0.01229, False
4800, 0.01932, False
4850, 0.02904, False
4900, 0.0415, False
4950, 0.05726, False
5000, 0.07547, False
5050, 0.09314, False
5100, 0.1062, False
5150, 0.1124, False
