"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 0.1131, False
400, 0.7568, False
410, 0.8785, False
420, 0.9102, False
430, 0.9252, False
440, 0.9348, False
450, 0.9427, False
460, 0.9495, False
470, 0.9553, False
480, 0.9606, False
490, 0.9658, False
500, 0.9703, False
510, 0.9738, False
520, 0.9768, False
530, 0.9789, False
540, 0.9807, False
550, 0.9823, False
560, 0.9835, False
570, 0.9841, False
580, 0.9843, False
590, 0.9842, False
600, 0.984, False
610, 0.9835, False
620, 0.9828, False
630, 0.9819, False
640, 0.981, False
650, 0.9801, False
660, 0.9791, False
670, 0.9779, False
680, 0.9766, False
690, 0.9753, False
700, 0.9739, False
710, 0.9723, False
720, 0.9708, False
730, 0.9691, False
740, 0.9675, False
750, 0.9657, False
760, 0.9639, False
770, 0.9621, False
780, 0.9604, False
790, 0.9587, False
800, 0.9569, False
810, 0.9551, False
820, 0.9535, False
830, 0.9521, False
840, 0.9507, False
850, 0.9496, False
860, 0.9486, False
870, 0.9476, False
880, 0.9467, False
890, 0.9457, False
900, 0.9448, False
910, 0.9439, False
920, 0.9431, False
930, 0.9422, False
940, 0.9416, False
950, 0.9409, False
960, 0.9404, False
970, 0.9398, False
980, 0.9393, False
990, 0.9388, False
1000, 0.9383, False
1010, 0.9379, False
1020, 0.9376, False
1030, 0.9374, False
1040, 0.9372, False
1050, 0.937, False
1060, 0.9369, False
1070, 0.9368, False
1080, 0.9366, False
1090, 0.9365, False
1100, 0.9365, False
1110, 0.9365, False
1120, 0.9366, False
1130, 0.9366, False
1140, 0.9367, False
1150, 0.9368, False
1160, 0.9369, False
1170, 0.9371, False
1180, 0.9372, False
1190, 0.9374, False
1200, 0.9376, False
1250, 0.9391, False
1300, 0.9414, False
1350, 0.9443, False
1400, 0.9433, False
1450, 0.9504, False
1500, 0.9555, False
1550, 0.9594, False
1600, 0.9622, False
1650, 0.9638, False
1700, 0.964, False
1750, 0.9632, False
1800, 0.9619, False
1850, 0.9602, False
1900, 0.9585, False
1950, 0.9566, False
2000, 0.9546, False
2050, 0.9526, False
2100, 0.9487, False
2150, 0.9432, False
2200, 0.9318, False
2250, 0.9268, False
2300, 0.9315, False
2350, 0.9306, False
2400, 0.9235, False
2450, 0.9147, False
2500, 0.9067, False
2550, 0.9014, False
2600, 0.895, False
2650, 0.8838, False
2700, 0.804, False
2750, 0.3176, False
2800, 0.2228, False
2850, 0.2391, False
2900, 0.2571, False
2950, 0.2688, False
3000, 0.2738, False
3050, 0.2675, False
3100, 0.2561, False
3150, 0.2409, False
3200, 0.2224, False
3250, 0.2055, False
3300, 0.1892, False
3350, 0.1733, False
3400, 0.1601, False
3450, 0.1494, False
3500, 0.1437, False
3550, 0.1407, False
3600, 0.1403, False
3650, 0.1412, False
3700, 0.1448, False
3750, 0.1512, False
3800, 0.1583, False
3850, 0.1667, False
3900, 0.1668, False
3950, 0.1618, False
4000, 0.1544, False
4050, 0.1433, False
4100, 0.1295, False
4150, 0.1116, False
4200, 0.09191, False
4250, 0.06847, False
4300, 0.04612, False
4350, 0.02855, False
4400, 0.01568, False
4450, 0.00694, False
4500, 0.0028, False
4550, 0.000994, False
4600, 0.0003013, False
4650, 9.863e-05, False
4700, 3.281e-05, False
4750, 1.227e-05, False
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
