"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 0.001919, False
280, 0.02114, False
290, 0.08698, False
300, 0.2288, False
310, 0.4257, False
320, 0.6184, False
330, 0.7634, False
340, 0.8445, False
350, 0.8948, False
360, 0.9343, False
370, 0.9455, False
380, 0.9509, False
390, 0.9379, False
400, 0.9217, False
410, 0.9079, False
420, 0.8992, False
430, 0.9037, False
440, 0.9112, False
450, 0.9159, False
460, 0.9109, False
470, 0.9167, False
480, 0.925, False
490, 0.9288, False
500, 0.9282, False
510, 0.9265, False
520, 0.9194, False
530, 0.9162, False
540, 0.9202, False
550, 0.9298, False
560, 0.9303, False
570, 0.9267, False
580, 0.9189, False
590, 0.9059, False
600, 0.8899, False
610, 0.8645, False
620, 0.8381, False
630, 0.8054, False
640, 0.7704, False
650, 0.7303, False
660, 0.6891, False
670, 0.6451, False
680, 0.5988, False
690, 0.5497, False
700, 0.4982, False
710, 0.4482, False
720, 0.3989, False
730, 0.3535, False
740, 0.3084, False
750, 0.2645, False
760, 0.2263, False
770, 0.1901, False
780, 0.1584, False
790, 0.1302, False
800, 0.1066, False
810, 0.08548, False
820, 0.06913, False
830, 0.05533, False
840, 0.04313, False
850, 0.03387, False
860, 0.02668, False
870, 0.02066, False
880, 0.01585, False
890, 0.01195, False
900, 0.009471, False
910, 0.007401, False
920, 0.005677, False
930, 0.004323, False
940, 0.003458, False
950, 0.002746, False
960, 0.002212, False
970, 0.00174, False
980, 0.001401, False
990, 0.001092, False
1000, 0.0009072, False
1010, 0.0007715, False
1020, 0.0006422, False
1030, 0.0005357, False
1040, 0.0004512, False
1050, 0.0003972, False
1060, 0.0003472, False
1070, 0.0002827, False
1080, 0.0002515, False
1090, 0.0002367, False
1100, 0.0002334, False
1110, 0.0002163, False
1120, 0.0001828, False
1130, 0.0001729, False
1140, 0.0001649, False
1150, 0.0001586, False
1160, 0.000151, False
1170, 0.0001379, False
1180, 0.0001201, False
1190, 0.0001309, False
1200, 0.0001227, False
1250, 0.0001188, False
1300, 0.0001322, False
1350, 0.0001495, False
1400, 0.0002072, False
1450, 0.0003025, False
1500, 0.0004975, False
1550, 0.0007248, False
1600, 0.001222, False
1650, 0.001812, False
1700, 0.002542, False
1750, 0.003228, False
1800, 0.003652, False
1850, 0.00377, False
1900, 0.003681, False
1950, 0.003366, False
2000, 0.003121, False
2050, 0.002861, False
2100, 0.002785, False
2150, 0.002752, False
2200, 0.002727, False
2250, 0.003103, False
2300, 0.003642, False
2350, 0.004394, False
2400, 0.005839, False
2450, 0.00715, False
2500, 0.009398, False
2550, 0.0116, False
2600, 0.01403, False
2650, 0.01687, False
2700, 0.01917, False
2750, 0.0142, False
2800, 0.001641, False
2850, 0.000369, False
2900, 0.0002146, False
2950, 0.0001725, False
3000, 0.0001586, False
3050, 0.0001571, False
3100, 0.0001649, False
3150, 0.0001794, False
3200, 0.0002, False
3250, 0.0002324, False
3300, 0.0002755, False
3350, 0.000343, False
3400, 0.0004356, False
3450, 0.0005699, False
3500, 0.0007511, False
3550, 0.0009992, False
3600, 0.001302, False
3650, 0.00163, False
3700, 0.001822, False
3750, 0.001693, False
3800, 0.001292, False
3850, 0.0008111, False
3900, 0.0004055, False
3950, 0.000171, False
4000, 7.23e-05, False
4050, 3.512e-05, False
4100, 2.115e-05, False
4150, 1.291e-05, False
4200, 1e-05, True
4250, 1e-05, True
4300, 1e-05, True
4350, 1e-05, True
4400, 1.042e-05, False
4450, 1.106e-05, False
4500, 1.106e-05, False
4550, 1.106e-05, False
4600, 1.042e-05, False
4650, 1e-05, True
4700, 1e-05, True
4750, 1e-05, True
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
