"Wavelength /nm", "Transmittance", "Is upper bound"
200, 0.55, False
210, 0.64, False
220, 0.75, False
230, 0.84, False
240, 0.9, False
250, 0.95, False
260, 0.97, False
270, 0.98, False
280, 0.99, False
290, 0.99, False
300, 0.99, False
310, 0.99, False
320, 0.9953, False
330, 0.9968, False
340, 0.9981, False
350, 0.9987, False
360, 0.9996, False
370, 0.9994, False
380, 0.9995, False
390, 0.9993, False
400, 0.9994, False
410, 0.9997, False
420, 0.9999, False
430, 1.0, False
440, 1.0, False
450, 1.0, False
460, 1.0, False
470, 1.0, False
480, 1.0, False
490, 1.0, False
500, 1.0, False
510, 1.0, False
520, 1.0, False
530, 1.0, False
540, 1.0, False
550, 1.0, False
560, 1.0, False
570, 1.0, False
580, 1.0, False
590, 1.0, False
600, 1.0, False
610, 1.0, False
620, 1.0, False
630, 1.0, False
640, 1.0, False
650, 1.0, False
660, 1.0, False
670, 1.0, False
680, 1.0, False
690, 1.0, False
700, 1.0, False
710, 1.0, False
720, 1.0, False
730, 1.0, False
740, 1.0, False
750, 1.0, False
760, 1.0, False
770, 1.0, False
780, 1.0, False
790, 1.0, False
800, 1.0, False
810, 1.0, False
820, 1.0, False
830, 1.0, False
840, 1.0, False
850, 1.0, False
860, 1.0, False
870, 1.0, False
880, 1.0, False
890, 1.0, False
900, 1.0, False
910, 1.0, False
920, 1.0, False
930, 1.0, False
940, 1.0, False
950, 1.0, False
960, 1.0, False
970, 1.0, False
980, 1.0, False
990, 1.0, False
1000, 1.0, False
1010, 1.0, False
1020, 1.0, False
1030, 1.0, False
1040, 1.0, False
1050, 1.0, False
1060, 1.0, False
1070, 1.0, False
1080, 1.0, False
1090, 1.0, False
1100, 1.0, False
1110, 1.0, False
1120, 1.0, False
1130, 1.0, False
1140, 1.0, False
1150, 1.0, False
1160, 1.0, False
1170, 1.0, False
1180, 1.0, False
1190, 1.0, False
1200, 1.0, False
1250, 1.0, False
1300, 1.0, False
1350, 1.0, False
1400, 0.9929, False
1450, 0.9988, False
1500, 1.0, False
1550, 1.0, False
1600, 1.0, False
1650, 1.0, False
1700, 1.0, False
1750, 1.0, False
1800, 1.0, False
1850, 1.0, False
1900, 0.9999, False
1950, 0.9981, False
2000, 0.9933, False
2050, 0.9933, False
2100, 0.9902, False
2150, 0.969, False
2200, 0.9657, False
2250, 0.9694, False
2300, 0.9667, False
2350, 0.9516, False
2400, 0.916, False
2450, 0.9116, False
2500, 0.9037, False
2550, 0.8864, False
2600, 0.8777, False
2650, 0.8648, False
2700, 0.7273, False
2750, 0.1646, False
2800, 0.1052, False
2850, 0.1276, False
2900, 0.1611, False
2950, 0.1992, False
3000, 0.239, False
3050, 0.2823, False
3100, 0.327, False
3150, 0.3692, False
3200, 0.397, False
3250, 0.389, False
3300, 0.3273, False
3350, 0.22, False
3400, 0.1048, False
3450, 0.0342, False
3500, 0.008818, False
3550, 0.002255, False
3600, 0.0006575, False
3650, 0.0005338, False
3700, 0.0013, False
3750, 0.003496, False
3800, 0.005778, False
3850, 0.005658, False
3900, 0.004117, False
3950, 0.003029, False
4000, 0.002738, False
4050, 0.00311, False
4100, 0.003612, False
4150, 0.003861, False
4200, 0.003738, False
4250, 0.002866, False
4300, 0.001823, False
4350, 0.001145, False
4400, 0.0007717, False
4450, 0.000534, False
4500, 0.0003471, False
4550, 0.0001909, False
4600, 8.269e-05, False
4650, 2.901e-05, False
4700, 1e-05, True
4750, 1e-05, True
4800, 1e-05, True
4850, 1e-05, True
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
