"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 0.0007413, False
330, 0.016, False
340, 0.086, False
350, 0.205, False
360, 0.328, False
370, 0.4012, False
380, 0.393, False
390, 0.5, False
400, 0.5456, False
410, 0.546, False
420, 0.5487, False
430, 0.5587, False
440, 0.5564, False
450, 0.569, False
460, 0.5833, False
470, 0.5828, False
480, 0.577, False
490, 0.5715, False
500, 0.5677, False
510, 0.5667, False
520, 0.5684, False
530, 0.5717, False
540, 0.5757, False
550, 0.5767, False
560, 0.5747, False
570, 0.5682, False
580, 0.5605, False
590, 0.5549, False
600, 0.5548, False
610, 0.5579, False
620, 0.5602, False
630, 0.5604, False
640, 0.5578, False
650, 0.5558, False
660, 0.5576, False
670, 0.5643, False
680, 0.5773, False
690, 0.5891, False
700, 0.5993, False
710, 0.6038, False
720, 0.6035, False
730, 0.6003, False
740, 0.5948, False
750, 0.5873, False
760, 0.5797, False
770, 0.5707, False
780, 0.561, False
790, 0.5511, False
800, 0.5424, False
810, 0.5337, False
820, 0.523, False
830, 0.5142, False
840, 0.5055, False
850, 0.4955, False
860, 0.4857, False
870, 0.4796, False
880, 0.4735, False
890, 0.4636, False
900, 0.4585, False
910, 0.4487, False
920, 0.4416, False
930, 0.4364, False
940, 0.4293, False
950, 0.422, False
960, 0.4175, False
970, 0.4104, False
980, 0.405, False
990, 0.4022, False
1000, 0.3974, False
1010, 0.3941, False
1020, 0.39, False
1030, 0.387, False
1040, 0.385, False
1050, 0.383, False
1060, 0.38, False
1070, 0.379, False
1080, 0.377, False
1090, 0.376, False
1100, 0.3794, False
1110, 0.3808, False
1120, 0.3812, False
1130, 0.3816, False
1140, 0.3821, False
1150, 0.3827, False
1160, 0.3835, False
1170, 0.3845, False
1180, 0.3858, False
1190, 0.3875, False
1200, 0.39, False
1250, 0.4075, False
1300, 0.44, False
1350, 0.4676, False
1400, 0.5, False
1450, 0.5321, False
1500, 0.56, False
1550, 0.5761, False
1600, 0.5857, False
1650, 0.59, False
1700, 0.59, False
1750, 0.593, False
1800, 0.5952, False
1850, 0.6, False
1900, 0.61, False
1950, 0.6194, False
2000, 0.63, False
2050, 0.6414, False
2100, 0.65, False
2150, 0.6568, False
2200, 0.6619, False
2250, 0.6707, False
2300, 0.68, False
2350, 0.6883, False
2400, 0.69, False
2450, 0.6949, False
2500, 0.7, False
2550, 0.7022, False
2600, 0.7044, False
2650, 0.7, False
2700, 0.66, False
2750, 0.3108, False
2800, 0.17, False
2850, 0.1583, False
2900, 0.17, False
2950, 0.1935, False
3000, 0.22, False
3050, 0.2485, False
3100, 0.28, False
3150, 0.3057, False
3200, 0.3364, False
3250, 0.3628, False
3300, 0.37, False
3350, 0.3511, False
3400, 0.29, False
3450, 0.217, False
3500, 0.15, False
3550, 0.1012, False
3600, 0.07, False
3650, 0.0586, False
3700, 0.0711, False
3750, 0.1077, False
3800, 0.14, False
3850, 0.1583, False
3900, 0.1473, False
3950, 0.118, False
4000, 0.1, False
4050, 0.08913, False
4100, 0.0955, False
4150, 0.1, False
4200, 0.1, False
4250, 0.09441, False
4300, 0.07762, False
4350, 0.05495, False
4400, 0.04, False
4450, 0.02512, False
4500, 0.01622, False
4550, 0.01, False
4600, 0.005821, False
4650, 0.003192, False
4700, 0.00182, False
4750, 0.001038, False
4800, 0.0006561, False
4850, 0.0003981, False
4900, 0.0002104, False
4950, 0.0001079, False
5000, 3.917e-05, False
5050, 1.503e-05, False
5100, 1e-05, True
5150, 1e-05, True
