"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 1e-05, True
420, 1e-05, True
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 0.0009674, False
500, 0.05093, False
510, 0.3219, False
520, 0.6692, False
530, 0.8627, False
540, 0.937, False
550, 0.9652, False
560, 0.9769, False
570, 0.9824, False
580, 0.985, False
590, 0.9864, False
600, 0.9868, False
610, 0.9869, False
620, 0.9867, False
630, 0.9861, False
640, 0.9853, False
650, 0.9844, False
660, 0.9835, False
670, 0.9825, False
680, 0.9815, False
690, 0.9802, False
700, 0.9789, False
710, 0.9774, False
720, 0.976, False
730, 0.9744, False
740, 0.9727, False
750, 0.971, False
760, 0.9693, False
770, 0.9676, False
780, 0.966, False
790, 0.9644, False
800, 0.9627, False
810, 0.9612, False
820, 0.9597, False
830, 0.9582, False
840, 0.9568, False
850, 0.9553, False
860, 0.954, False
870, 0.9527, False
880, 0.9514, False
890, 0.9501, False
900, 0.9491, False
910, 0.9482, False
920, 0.9474, False
930, 0.9467, False
940, 0.9459, False
950, 0.9452, False
960, 0.9445, False
970, 0.9439, False
980, 0.9433, False
990, 0.9429, False
1000, 0.9426, False
1010, 0.9422, False
1020, 0.9419, False
1030, 0.9417, False
1040, 0.9415, False
1050, 0.9413, False
1060, 0.9412, False
1070, 0.941, False
1080, 0.9409, False
1090, 0.9408, False
1100, 0.9408, False
1110, 0.9408, False
1120, 0.9408, False
1130, 0.9408, False
1140, 0.9409, False
1150, 0.9411, False
1160, 0.9413, False
1170, 0.9414, False
1180, 0.9416, False
1190, 0.9418, False
1200, 0.9421, False
1250, 0.9434, False
1300, 0.9454, False
1350, 0.9479, False
1400, 0.9486, False
1450, 0.9538, False
1500, 0.9586, False
1550, 0.9628, False
1600, 0.966, False
1650, 0.968, False
1700, 0.9688, False
1750, 0.9681, False
1800, 0.9666, False
1850, 0.9647, False
1900, 0.9624, False
1950, 0.9599, False
2000, 0.9574, False
2050, 0.9549, False
2100, 0.9526, False
2150, 0.9486, False
2200, 0.9342, False
2250, 0.9311, False
2300, 0.9339, False
2350, 0.9332, False
2400, 0.9292, False
2450, 0.9207, False
2500, 0.9136, False
2550, 0.9185, False
2600, 0.9111, False
2650, 0.8926, False
2700, 0.8215, False
2750, 0.4471, False
2800, 0.35, False
2850, 0.3433, False
2900, 0.3513, False
2950, 0.3569, False
3000, 0.3519, False
3050, 0.331, False
3100, 0.3011, False
3150, 0.2673, False
3200, 0.244, False
3250, 0.2238, False
3300, 0.2048, False
3350, 0.1862, False
3400, 0.1707, False
3450, 0.1598, False
3500, 0.1533, False
3550, 0.1517, False
3600, 0.1549, False
3650, 0.1601, False
3700, 0.1653, False
3750, 0.1708, False
3800, 0.1767, False
3850, 0.1817, False
3900, 0.185, False
3950, 0.185, False
4000, 0.1811, False
4050, 0.1729, False
4100, 0.1582, False
4150, 0.138, False
4200, 0.1127, False
4250, 0.08609, False
4300, 0.06209, False
4350, 0.0414, False
4400, 0.02314, False
4450, 0.01039, False
4500, 0.004394, False
4550, 0.001743, False
4600, 0.0006152, False
4650, 0.0002588, False
4700, 0.0001117, False
4750, 5.117e-05, False
4800, 2.449e-05, False
4850, 1.211e-05, False
4900, 1e-05, True
4950, 1e-05, True
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
