"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 1e-05, True
420, 1e-05, True
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 1e-05, True
500, 1e-05, True
510, 1e-05, True
520, 1e-05, True
530, 1e-05, True
540, 1e-05, True
550, 1e-05, True
560, 1e-05, True
570, 1e-05, True
580, 1e-05, True
590, 1e-05, True
600, 1e-05, True
610, 1e-05, True
620, 1e-05, True
630, 1e-05, True
640, 1e-05, True
650, 1e-05, True
660, 1.589e-05, False
670, 6.257e-05, False
680, 0.0004487, False
690, 0.005351, False
700, 0.059, False
710, 0.311, False
720, 0.6665, False
730, 0.8663, False
740, 0.941, False
750, 0.9666, False
760, 0.9757, False
770, 0.9791, False
780, 0.9802, False
790, 0.9805, False
800, 0.9805, False
810, 0.9804, False
820, 0.9802, False
830, 0.98, False
840, 0.9798, False
850, 0.9796, False
860, 0.9795, False
870, 0.9794, False
880, 0.9795, False
890, 0.9795, False
900, 0.9796, False
910, 0.9797, False
920, 0.9798, False
930, 0.9799, False
940, 0.9801, False
950, 0.9802, False
960, 0.9803, False
970, 0.9804, False
980, 0.9805, False
990, 0.9806, False
1000, 0.9807, False
1010, 0.9808, False
1020, 0.9809, False
1030, 0.981, False
1040, 0.9811, False
1050, 0.9812, False
1060, 0.9813, False
1070, 0.9815, False
1080, 0.9816, False
1090, 0.9817, False
1100, 0.9819, False
1110, 0.982, False
1120, 0.9822, False
1130, 0.9823, False
1140, 0.9825, False
1150, 0.9827, False
1160, 0.9828, False
1170, 0.983, False
1180, 0.9832, False
1190, 0.9834, False
1200, 0.9836, False
1250, 0.9846, False
1300, 0.986, False
1350, 0.9877, False
1400, 0.9879, False
1450, 0.9897, False
1500, 0.9917, False
1550, 0.9927, False
1600, 0.9932, False
1650, 0.9929, False
1700, 0.9919, False
1750, 0.9905, False
1800, 0.9891, False
1850, 0.9878, False
1900, 0.9869, False
1950, 0.9869, False
2000, 0.9862, False
2050, 0.9853, False
2100, 0.9841, False
2150, 0.9803, False
2200, 0.968, False
2250, 0.9641, False
2300, 0.9678, False
2350, 0.9684, False
2400, 0.9658, False
2450, 0.9598, False
2500, 0.9545, False
2550, 0.9592, False
2600, 0.9597, False
2650, 0.9495, False
2700, 0.9017, False
2750, 0.5597, False
2800, 0.3653, False
2850, 0.3378, False
2900, 0.3356, False
2950, 0.3336, False
3000, 0.3236, False
3050, 0.3067, False
3100, 0.2864, False
3150, 0.266, False
3200, 0.2477, False
3250, 0.2325, False
3300, 0.2202, False
3350, 0.212, False
3400, 0.2072, False
3450, 0.2093, False
3500, 0.2171, False
3550, 0.2313, False
3600, 0.2476, False
3650, 0.2649, False
3700, 0.2827, False
3750, 0.2995, False
3800, 0.3127, False
3850, 0.3232, False
3900, 0.3305, False
3950, 0.3302, False
4000, 0.3252, False
4050, 0.3154, False
4100, 0.2993, False
4150, 0.2758, False
4200, 0.2464, False
4250, 0.212, False
4300, 0.1666, False
4350, 0.1238, False
4400, 0.0796, False
4450, 0.04376, False
4500, 0.0198, False
4550, 0.00843, False
4600, 0.003292, False
4650, 0.001132, False
4700, 0.0004375, False
4750, 0.0001791, False
4800, 8.337e-05, False
4850, 4.236e-05, False
4900, 2.218e-05, False
4950, 1.076e-05, False
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
