"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 0.0005305, False
360, 0.01243, False
370, 0.06439, False
380, 0.1397, False
390, 0.2098, False
400, 0.259, False
410, 0.2881, False
420, 0.3042, False
430, 0.3144, False
440, 0.3249, False
450, 0.343, False
460, 0.3719, False
470, 0.4097, False
480, 0.4614, False
490, 0.5213, False
500, 0.5796, False
510, 0.6186, False
520, 0.6216, False
530, 0.5754, False
540, 0.4804, False
550, 0.3646, False
560, 0.2394, False
570, 0.1317, False
580, 0.05863, False
590, 0.02067, False
600, 0.00571, False
610, 0.001196, False
620, 0.000192, False
630, 2.354e-05, False
640, 1e-05, True
650, 1e-05, True
660, 1e-05, True
670, 1e-05, True
680, 1e-05, True
690, 1e-05, True
700, 1e-05, True
710, 1e-05, True
720, 1e-05, True
730, 1e-05, True
740, 1e-05, True
750, 1e-05, True
760, 1e-05, True
770, 1e-05, True
780, 1e-05, True
790, 1e-05, True
800, 1e-05, True
810, 1e-05, True
820, 1e-05, True
830, 1e-05, True
840, 1e-05, True
850, 1e-05, True
860, 1e-05, True
870, 1e-05, True
880, 1e-05, True
890, 1e-05, True
900, 1e-05, True
910, 1e-05, True
920, 1e-05, True
930, 1e-05, True
940, 1e-05, True
950, 1e-05, True
960, 1e-05, True
970, 1e-05, True
980, 1e-05, True
990, 1e-05, True
1000, 1e-05, True
1010, 1e-05, True
1020, 1e-05, True
1030, 1e-05, True
1040, 1e-05, True
1050, 1e-05, True
1060, 1e-05, True
1070, 1e-05, True
1080, 1e-05, True
1090, 1e-05, True
1100, 1e-05, True
1110, 1e-05, True
1120, 1e-05, True
1130, 1e-05, True
1140, 1e-05, True
1150, 1e-05, True
1160, 1e-05, True
1170, 1e-05, True
1180, 1e-05, True
1190, 1e-05, True
1200, 1e-05, True
1250, 1e-05, True
1300, 1e-05, True
1350, 1e-05, True
1400, 1e-05, True
1450, 1e-05, True
1500, 1.239e-05, False
1550, 5.81e-05, False
1600, 0.0003349, False
1650, 0.001381, False
1700, 0.004363, False
1750, 0.01129, False
1800, 0.02387, False
1850, 0.04389, False
1900, 0.07212, False
1950, 0.1074, False
2000, 0.1488, False
2050, 0.1947, False
2100, 0.2428, False
2150, 0.2908, False
2200, 0.3323, False
2250, 0.3728, False
2300, 0.4136, False
2350, 0.4531, False
2400, 0.4891, False
2450, 0.5187, False
2500, 0.5374, False
2550, 0.5451, False
2600, 0.5502, False
2650, 0.5547, False
2700, 0.5481, False
2750, 0.4994, False
2800, 0.2689, False
2850, 0.1121, False
2900, 0.05898, False
2950, 0.03724, False
3000, 0.02578, False
3050, 0.0184, False
3100, 0.01314, False
3150, 0.009636, False
3200, 0.007306, False
3250, 0.005847, False
3300, 0.004945, False
3350, 0.004463, False
3400, 0.00426, False
3450, 0.00438, False
3500, 0.00474, False
3550, 0.00545, False
3600, 0.00645, False
3650, 0.007713, False
3700, 0.008548, False
3750, 0.007773, False
3800, 0.005431, False
3850, 0.003027, False
3900, 0.001397, False
3950, 0.0004345, False
4000, 9.178e-05, False
4050, 1.79e-05, False
4100, 1e-05, True
4150, 1e-05, True
4200, 1e-05, True
4250, 1e-05, True
4300, 1e-05, True
4350, 1e-05, True
4400, 1e-05, True
4450, 1e-05, True
4500, 1e-05, True
4550, 1e-05, True
4600, 1e-05, True
4650, 1.919e-05, False
4700, 4.704e-05, False
4750, 9.473e-05, False
4800, 0.0001584, False
4850, 0.0002376, False
4900, 0.0003262, False
4950, 0.0003896, False
5000, 0.0003832, False
5050, 0.0002843, False
5100, 0.0001509, False
5150, 5.275e-05, False
