"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 0.011, False
310, 0.12, False
320, 0.286, False
330, 0.1121, False
340, 0.3242, False
350, 0.001408, False
360, 0.005762, False
370, 0.9007, False
380, 0.9175, False
390, 0.9571, False
400, 0.9573, False
410, 0.9681, False
420, 0.8796, False
430, 0.3086, False
440, 0.8369, False
450, 0.7247, False
460, 0.3727, False
470, 0.3203, False
480, 0.3882, False
490, 0.7984, False
500, 0.3756, False
510, 0.02712, False
520, 0.02623, False
530, 0.0111, False
540, 0.4537, False
550, 0.8047, False
560, 0.6925, False
570, 0.001587, False
580, 1e-05, True
590, 1e-05, True
600, 0.05053, False
610, 0.7355, False
620, 0.8329, False
630, 0.76, False
640, 0.906, False
650, 0.9729, False
660, 0.954, False
670, 0.675, False
680, 0.3253, False
690, 0.5335, False
700, 0.8328, False
710, 0.8975, False
720, 0.7394, False
730, 0.07187, False
740, 1e-05, True
750, 1e-05, True
760, 0.009719, False
770, 0.2723, False
780, 0.2269, False
790, 0.005137, False
800, 1e-05, True
810, 1e-05, True
820, 0.02121, False
830, 0.2662, False
840, 0.6804, False
850, 0.7069, False
860, 0.23, False
870, 0.07556, False
880, 0.08345, False
890, 0.2096, False
900, 0.4115, False
910, 0.6332, False
920, 0.8198, False
930, 0.9342, False
940, 0.9813, False
950, 0.993, False
960, 0.9957, False
970, 0.9957, False
980, 0.996, False
990, 0.9954, False
1000, 0.9952, False
1010, 0.9953, False
1020, 0.9956, False
1030, 0.9963, False
1040, 0.9961, False
1050, 0.995, False
1060, 0.9928, False
1070, 0.9904, False
1080, 0.9904, False
1090, 0.9931, False
1100, 0.9956, False
1110, 0.9973, False
1120, 0.9982, False
1130, 0.9988, False
1140, 0.9994, False
1150, 0.9997, False
1160, 0.9997, False
1170, 0.9992, False
1180, 0.9987, False
1190, 0.9971, False
1200, 0.9943, False
1250, 0.9918, False
1300, 0.9964, False
1350, 0.9802, False
1400, 0.9441, False
1450, 0.9226, False
1500, 0.8475, False
1550, 0.7267, False
1600, 0.6782, False
1650, 0.723, False
1700, 0.7761, False
1750, 0.8624, False
1800, 0.9376, False
1850, 0.9409, False
1900, 0.9254, False
1950, 0.9299, False
2000, 0.94, False
2050, 0.943, False
2100, 0.9352, False
2150, 0.9113, False
2200, 0.8562, False
2250, 0.6926, False
2300, 0.3511, False
2350, 0.1347, False
2400, 0.07911, False
2450, 0.07437, False
2500, 0.09294, False
2550, 0.1174, False
2600, 0.2638, False
2650, 0.3548, False
2700, 0.4376, False
2750, 0.4029, False
2800, 0.2729, False
2850, 0.2329, False
2900, 0.2364, False
2950, 0.25, False
3000, 0.263, False
3050, 0.2713, False
3100, 0.2735, False
3150, 0.2685, False
3200, 0.2512, False
3250, 0.2105, False
3300, 0.141, False
3350, 0.0671, False
3400, 0.021, False
3450, 0.00439, False
3500, 0.0006351, False
3550, None, False
3600, None, False
3650, None, False
3700, None, False
3750, None, False
3800, None, False
3850, 4.46e-05, False
3900, 2.669e-05, False
3950, 5.235e-05, False
4000, 5.942e-05, False
4050, 4.125e-05, False
4100, 3.178e-05, False
4150, 2.013e-05, False
4200, None, False
4250, None, False
4300, 4.98e-05, False
4350, 1e-05, True
4400, 3.969e-05, False
4450, 7.509e-05, False
4500, 0.0001168, False
4550, 3.056e-05, False
4600, 2.932e-05, False
4650, 0.0001461, False
4700, None, False
4750, 5.584e-05, False
4800, 1.183e-05, False
4850, 3.964e-05, False
4900, 3.06e-05, False
4950, 1e-05, True
5000, 4.206e-05, False
5050, None, False
5100, None, False
5150, None, False
