"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 0.0006067, False
250, 0.0561, False
260, 0.276, False
270, 0.521, False
280, 0.712, False
290, 0.825, False
300, 0.88, False
310, 0.907, False
320, 0.92, False
330, 0.926, False
340, 0.921, False
350, 0.906, False
360, 0.866, False
370, 0.756, False
380, 0.482, False
390, 0.12, False
400, 0.003999, False
410, 1.047e-05, False
420, 1e-05, True
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 1e-05, True
500, 1e-05, True
510, 1e-05, True
520, 1e-05, True
530, 1e-05, True
540, 1e-05, True
550, 1e-05, True
560, 1e-05, True
570, 1e-05, True
580, 1e-05, True
590, 1e-05, True
600, 1e-05, True
610, 1e-05, True
620, 1e-05, True
630, 1e-05, True
640, 1e-05, True
650, 1e-05, True
660, 0.0003631, False
670, 0.008128, False
680, 0.05, False
690, 0.138, False
700, 0.222, False
710, 0.278, False
720, 0.283, False
730, 0.24, False
740, 0.185, False
750, 0.136, False
760, 0.097, False
770, 0.067, False
780, 0.047, False
790, 0.033, False
800, 0.024, False
810, 0.018, False
820, 0.01382, False
830, 0.01088, False
840, 0.009121, False
850, 0.007965, False
860, 0.007014, False
870, 0.006255, False
880, 0.005892, False
890, 0.005834, False
900, 0.005948, False
910, 0.006114, False
920, 0.006368, False
930, 0.007, False
940, 0.00809, False
950, 0.00939, False
960, 0.011, False
970, 0.013, False
980, 0.0152, False
990, 0.01825, False
1000, 0.02132, False
1010, 0.02498, False
1020, 0.02809, False
1030, 0.03263, False
1040, 0.03673, False
1050, 0.041, False
1060, 0.04375, False
1070, 0.04599, False
1080, 0.048, False
1090, 0.04828, False
1100, 0.04897, False
1110, 0.04608, False
1120, 0.043, False
1130, 0.03948, False
1140, 0.03666, False
1150, 0.03325, False
1160, 0.0297, False
1170, 0.02691, False
1180, 0.02354, False
1190, 0.02064, False
1200, 0.01775, False
1250, 0.0088, False
1300, 0.00547, False
1350, 0.00459, False
1400, 0.00477, False
1450, 0.00465, False
1500, 0.00427, False
1550, 0.00434, False
1600, 0.005, False
1650, 0.00597, False
1700, 0.0066, False
1750, 0.00666, False
1800, 0.00679, False
1850, 0.00716, False
1900, 0.00804, False
1950, 0.01, False
2000, 0.01238, False
2050, 0.01577, False
2100, 0.02029, False
2150, 0.02582, False
2200, 0.0316, False
2250, 0.03845, False
2300, 0.046, False
2350, 0.05309, False
2400, 0.06, False
2450, 0.06776, False
2500, 0.07, False
2550, 0.07, False
2600, 0.07, False
2650, 0.07161, False
2700, 0.07, False
2750, 0.06427, False
2800, 0.03, False
2850, 0.01057, False
2900, 0.004819, False
2950, 0.002547, False
3000, 0.001589, False
3050, 0.001, False
3100, 0.0006966, False
3150, 0.0005, False
3200, 0.000375, False
3250, 0.0002897, False
3300, 0.000236, False
3350, 0.0002075, False
3400, 0.0001824, False
3450, 0.0001758, False
3500, 0.0001875, False
3550, 0.0002133, False
3600, 0.0002594, False
3650, 0.0003, False
3700, 0.0003206, False
3750, 0.0003177, False
3800, 0.0003, False
3850, 0.0002594, False
3900, 0.0002213, False
3950, 0.000171, False
4000, 0.000118, False
4050, 8.954e-05, False
4100, 6.653e-05, False
4150, 5.741e-05, False
4200, 5.236e-05, False
4250, 5.383e-05, False
4300, 6.067e-05, False
4350, 7.621e-05, False
4400, 0.0001, False
4450, 0.0001384, False
4500, 0.0001663, False
4550, 0.0001742, False
4600, 0.0001766, False
4650, 0.000175, False
4700, 0.000171, False
4750, 0.0001633, False
4800, 0.0001503, False
4850, 0.0001496, False
4900, 0.000156, False
4950, 0.0001726, False
5000, 0.0001866, False
5050, 0.0001875, False
5100, 0.0001435, False
5150, 9.376e-05, False
