"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 0.000182, False
300, 0.01967, False
310, 0.1622, False
320, 0.4089, False
330, 0.6267, False
340, 0.7641, False
350, 0.8415, False
360, 0.8747, False
370, 0.867, False
380, 0.7794, False
390, 0.5154, False
400, 0.1524, False
410, 0.01277, False
420, 0.0003343, False
430, 1e-05, True
440, 1e-05, True
450, 1e-05, True
460, 1e-05, True
470, 1e-05, True
480, 1e-05, True
490, 1e-05, True
500, 1e-05, True
510, 1e-05, True
520, 1e-05, True
530, 1e-05, True
540, 1e-05, True
550, 1e-05, True
560, 1e-05, True
570, 1e-05, True
580, 1e-05, True
590, 1e-05, True
600, 1e-05, True
610, 1e-05, True
620, 1e-05, True
630, 1e-05, True
640, 1e-05, True
650, 1e-05, True
660, 1e-05, True
670, 1e-05, True
680, 4.743e-05, False
690, 0.003525, False
700, 0.04381, False
710, 0.1482, False
720, 0.2701, False
730, 0.3772, False
740, 0.4822, False
750, 0.4969, False
760, 0.416, False
770, 0.3251, False
780, 0.3076, False
790, 0.302, False
800, 0.2694, False
810, 0.2291, False
820, 0.1934, False
830, 0.1638, False
840, 0.1408, False
850, 0.1232, False
860, 0.1173, False
870, 0.1091, False
880, 0.1008, False
890, 0.09226, False
900, 0.08992, False
910, 0.08713, False
920, 0.08362, False
930, 0.08186, False
940, 0.07948, False
950, 0.07743, False
960, 0.07516, False
970, 0.07294, False
980, 0.07087, False
990, 0.06786, False
1000, 0.06441, False
1010, 0.06074, False
1020, 0.05634, False
1030, 0.05164, False
1040, 0.04693, False
1050, 0.04254, False
1060, 0.03842, False
1070, 0.03455, False
1080, 0.03079, False
1090, 0.02776, False
1100, 0.02523, False
1110, 0.02269, False
1120, 0.02075, False
1130, 0.01906, False
1140, 0.01742, False
1150, 0.0163, False
1160, 0.01523, False
1170, 0.01438, False
1180, 0.01343, False
1190, 0.01285, False
1200, 0.01239, False
1250, 0.0113, False
1300, 0.01398, False
1350, 0.02031, False
1400, 0.02052, False
1450, 0.01494, False
1500, 0.01214, False
1550, 0.01314, False
1600, 0.01595, False
1650, 0.01574, False
1700, 0.01264, False
1750, 0.01, False
1800, 0.009086, False
1850, 0.009759, False
1900, 0.01129, False
1950, 0.01318, False
2000, 0.01507, False
2050, 0.01693, False
2100, 0.01983, False
2150, 0.0232, False
2200, 0.02753, False
2250, 0.03365, False
2300, 0.04119, False
2350, 0.04948, False
2400, 0.05747, False
2450, 0.06255, False
2500, 0.07233, False
2550, 0.0792, False
2600, 0.0858, False
2650, 0.0919, False
2700, 0.09526, False
2750, 0.06593, False
2800, 0.04651, False
2850, 0.0458, False
2900, 0.04947, False
2950, 0.05439, False
3000, 0.05885, False
3050, 0.06181, False
3100, 0.06279, False
3150, 0.06159, False
3200, 0.05873, False
3250, 0.0551, False
3300, 0.05112, False
3350, 0.04711, False
3400, 0.04352, False
3450, 0.04076, False
3500, 0.03919, False
3550, 0.03909, False
3600, 0.04021, False
3650, 0.04237, False
3700, 0.0455, False
3750, 0.0496, False
3800, 0.05487, False
3850, 0.06125, False
3900, 0.06769, False
3950, 0.07273, False
4000, 0.07429, False
4050, 0.07123, False
4100, 0.06414, False
4150, 0.05492, False
4200, 0.04586, False
4250, 0.03757, False
4300, 0.03, False
4350, 0.02243, False
4400, 0.01481, False
4450, 0.008338, False
4500, 0.003947, False
4550, 0.001607, False
4600, 0.0005872, False
4650, 0.0002055, False
4700, 7.701e-05, False
4750, 3.602e-05, False
4800, 2.36e-05, False
4850, 2.09e-05, False
4900, 1.931e-05, False
4950, 1.251e-05, False
5000, 1e-05, True
5050, 1e-05, True
5100, 1e-05, True
5150, 1e-05, True
