"Wavelength /nm", "Transmittance", "Is upper bound"
200, 1e-05, True
210, 1e-05, True
220, 1e-05, True
230, 1e-05, True
240, 1e-05, True
250, 1e-05, True
260, 1e-05, True
270, 1e-05, True
280, 1e-05, True
290, 1e-05, True
300, 1e-05, True
310, 1e-05, True
320, 1e-05, True
330, 1e-05, True
340, 1e-05, True
350, 1e-05, True
360, 1e-05, True
370, 1e-05, True
380, 1e-05, True
390, 1e-05, True
400, 1e-05, True
410, 0.0007621, False
420, 0.005715, False
430, 0.01963, False
440, 0.05343, False
450, 0.117, False
460, 0.216, False
470, 0.325, False
480, 0.429, False
490, 0.53, False
500, 0.613, False
510, 0.669, False
520, 0.698, False
530, 0.698, False
540, 0.669, False
550, 0.618, False
560, 0.552, False
570, 0.477, False
580, 0.401, False
590, 0.33, False
600, 0.265, False
610, 0.209, False
620, 0.164, False
630, 0.13, False
640, 0.107, False
650, 0.089, False
660, 0.075, False
670, 0.06558, False
680, 0.05811, False
690, 0.05297, False
700, 0.04985, False
710, 0.04816, False
720, 0.04695, False
730, 0.04597, False
740, 0.04533, False
750, 0.04479, False
760, 0.04422, False
770, 0.04387, False
780, 0.04354, False
790, 0.04328, False
800, 0.04315, False
810, 0.04327, False
820, 0.04381, False
830, 0.04462, False
840, 0.04547, False
850, 0.04674, False
860, 0.04781, False
870, 0.0489, False
880, 0.05036, False
890, 0.053, False
900, 0.05608, False
910, 0.05926, False
920, 0.06255, False
930, 0.066, False
940, 0.06967, False
950, 0.07392, False
960, 0.079, False
970, 0.08434, False
980, 0.08972, False
990, 0.09538, False
1000, 0.102, False
1010, 0.1091, False
1020, 0.1162, False
1030, 0.123, False
1040, 0.1295, False
1050, 0.136, False
1060, 0.143, False
1070, 0.151, False
1080, 0.159, False
1090, 0.167, False
1100, 0.1745, False
1110, 0.1824, False
1120, 0.1907, False
1130, 0.2013, False
1140, 0.2079, False
1150, 0.2184, False
1160, 0.2273, False
1170, 0.2372, False
1180, 0.246, False
1190, 0.2562, False
1200, 0.2644, False
1250, 0.3044, False
1300, 0.35, False
1350, 0.4, False
1400, 0.44, False
1450, 0.4901, False
1500, 0.53, False
1550, 0.5702, False
1600, 0.6, False
1650, 0.6371, False
1700, 0.67, False
1750, 0.6955, False
1800, 0.72, False
1850, 0.7407, False
1900, 0.76, False
1950, 0.7775, False
2000, 0.79, False
2050, 0.8086, False
2100, 0.82, False
2150, 0.8312, False
2200, 0.84, False
2250, 0.8472, False
2300, 0.8548, False
2350, 0.8614, False
2400, 0.87, False
2450, 0.8736, False
2500, 0.88, False
2550, 0.88, False
2600, 0.884, False
2650, 0.883, False
2700, 0.87, False
2750, 0.687, False
2800, 0.6154, False
2850, 0.605, False
2900, 0.6, False
2950, 0.589, False
3000, 0.58, False
3050, 0.5626, False
3100, 0.54, False
3150, 0.5183, False
3200, 0.5, False
3250, 0.4787, False
3300, 0.46, False
3350, 0.4392, False
3400, 0.4213, False
3450, 0.4118, False
3500, 0.4034, False
3550, 0.4, False
3600, 0.4, False
3650, 0.4024, False
3700, 0.41, False
3750, 0.4175, False
3800, 0.43, False
3850, 0.442, False
3900, 0.45, False
3950, 0.4542, False
4000, 0.4524, False
4050, 0.4429, False
4100, 0.42, False
4150, 0.4015, False
4200, 0.38, False
4250, 0.3543, False
4300, 0.3223, False
4350, 0.2884, False
4400, 0.2469, False
4450, 0.2054, False
4500, 0.16, False
4550, 0.114, False
4600, 0.0745, False
4650, 0.05248, False
4700, 0.03251, False
4750, 0.02203, False
4800, 0.01614, False
4850, 0.0123, False
4900, 0.01, False
4950, 0.007534, False
5000, 0.005, False
5050, 0.002773, False
5100, 0.001455, False
5150, 0.0006637, False
